"Class","Month","Min","Max","OrganismCode"
"Age-1",2.00,1.00,75.00,"WCF"
"Age-1",3.00,1.00,75.00,"WCF"
"Age-1",4.00,1.00,80.00,"WCF"
"Age-1",5.00,1.00,90.00,"WCF"
"Age-1",6.00,1.00,110.00,"WCF"
"Age-1",7.00,51.00,120.00,"WCF"
"Age-1",8.00,61.00,130.00,"WCF"
"Age-1",9.00,66.00,135.00,"WCF"
"Age-1",10.00,76.00,140.00,"WCF"
"Age-1",11.00,76.00,140.00,"WCF"
"Age-1",12.00,76.00,140.00,"WCF"
"Age-2+",1.00,76.00,600.00,"WCF"
"Age-2+",2.00,76.00,600.00,"WCF"
"Age-2+",3.00,76.00,600.00,"WCF"
"Age-2+",4.00,81.00,600.00,"WCF"
"Age-2+",5.00,91.00,600.00,"WCF"
"Age-2+",6.00,111.00,600.00,"WCF"
"Age-2+",7.00,121.00,600.00,"WCF"
"Age-2+",8.00,131.00,600.00,"WCF"
"Age-2+",9.00,136.00,600.00,"WCF"
"Age-2+",10.00,141.00,600.00,"WCF"
"Age-2+",11.00,141.00,600.00,"WCF"
"Age-2+",12.00,141.00,600.00,"WCF"
"Age-0",1.00,1.00,25.00,"SB"
"Age-0",2.00,1.00,35.00,"SB"
"Age-0",3.00,1.00,40.00,"SB"
"Age-0",4.00,1.00,45.00,"SB"
"Age-0",5.00,1.00,50.00,"SB"
"Age-0",6.00,1.00,85.00,"SB"
"Age-0",7.00,1.00,100.00,"SB"
"Age-0",8.00,1.00,125.00,"SB"
"Age-0",9.00,1.00,140.00,"SB"
"Age-0",10.00,1.00,150.00,"SB"
"Age-0",11.00,1.00,165.00,"SB"
"Age-0",12.00,1.00,165.00,"SB"
"Age-1",1.00,26.00,175.00,"SB"
"Age-1",2.00,36.00,180.00,"SB"
"Age-1",3.00,41.00,180.00,"SB"
"Age-1",4.00,46.00,185.00,"SB"
"Age-1",5.00,51.00,190.00,"SB"
"Age-1",6.00,86.00,205.00,"SB"
"Age-1",7.00,101.00,220.00,"SB"
"Age-1",8.00,126.00,240.00,"SB"
"Age-1",9.00,141.00,250.00,"SB"
"Age-1",10.00,151.00,255.00,"SB"
"Age-1",11.00,166.00,260.00,"SB"
"Age-1",12.00,166.00,260.00,"SB"
"Age-2+",1.00,176.00,2000.00,"SB"
"Age-2+",2.00,181.00,2000.00,"SB"
"Age-2+",3.00,181.00,2000.00,"SB"
"Age-2+",4.00,186.00,2000.00,"SB"
"Age-2+",5.00,191.00,2000.00,"SB"
"Age-2+",6.00,206.00,2000.00,"SB"
"Age-2+",7.00,221.00,2000.00,"SB"
"Age-2+",8.00,241.00,2000.00,"SB"
"Age-2+",9.00,251.00,2000.00,"SB"
"Age-2+",10.00,256.00,2000.00,"SB"
"Age-2+",11.00,261.00,2000.00,"SB"
"Age-2+",12.00,261.00,2000.00,"SB"
"N/A",1.00,1.00,600.00,"ISS"
"N/A",2.00,1.00,600.00,"ISS"
"N/A",3.00,1.00,600.00,"ISS"
"N/A",4.00,1.00,600.00,"ISS"
"N/A",5.00,1.00,600.00,"ISS"
"N/A",6.00,1.00,600.00,"ISS"
"N/A",7.00,1.00,600.00,"ISS"
"N/A",8.00,1.00,600.00,"ISS"
"N/A",9.00,1.00,600.00,"ISS"
"N/A",10.00,1.00,600.00,"ISS"
"N/A",11.00,1.00,600.00,"ISS"
"N/A",12.00,1.00,600.00,"ISS"
"Age-0",1.00,1.00,20.00,"TP"
"Age-0",2.00,1.00,30.00,"TP"
"Age-0",3.00,1.00,40.00,"TP"
"Age-0",4.00,1.00,50.00,"TP"
"Age-0",5.00,1.00,56.00,"TP"
"Age-0",6.00,1.00,76.00,"TP"
"Age-0",7.00,1.00,84.00,"TP"
"Age-0",8.00,1.00,96.00,"TP"
"Age-0",9.00,1.00,102.00,"TP"
"Age-0",10.00,1.00,104.00,"TP"
"Age-0",11.00,1.00,106.00,"TP"
"Age-0",12.00,1.00,108.00,"TP"
"Age-1+",1.00,21.00,500.00,"TP"
"Age-1+",2.00,31.00,500.00,"TP"
"Age-1+",3.00,41.00,500.00,"TP"
"Age-1+",4.00,51.00,500.00,"TP"
"Age-1+",5.00,57.00,500.00,"TP"
"Age-1+",6.00,77.00,500.00,"TP"
"Age-1+",7.00,85.00,500.00,"TP"
"Age-1+",8.00,97.00,500.00,"TP"
"Age-1+",9.00,103.00,500.00,"TP"
"Age-1+",10.00,105.00,500.00,"TP"
"Age-1+",11.00,107.00,500.00,"TP"
"Age-1+",12.00,109.00,500.00,"TP"
"Age-0",1.00,1.00,35.00,"CP"
"Age-0",2.00,1.00,49.00,"CP"
"Age-0",3.00,1.00,63.00,"CP"
"Age-0",4.00,1.00,70.00,"CP"
"Age-0",5.00,1.00,77.00,"CP"
"Age-0",6.00,1.00,112.00,"CP"
"Age-0",7.00,1.00,161.00,"CP"
"Age-0",8.00,1.00,196.00,"CP"
"Age-0",9.00,1.00,203.00,"CP"
"Age-0",10.00,1.00,210.00,"CP"
"Age-0",11.00,1.00,217.00,"CP"
"Age-0",12.00,1.00,217.00,"CP"
"Age-1",1.00,36.00,238.00,"CP"
"Age-1",2.00,50.00,238.00,"CP"
"Age-1",3.00,64.00,245.00,"CP"
"Age-1",4.00,71.00,252.00,"CP"
"Age-1",5.00,78.00,259.00,"CP"
"Age-1",6.00,113.00,266.00,"CP"
"Age-1",7.00,162.00,287.00,"CP"
"Age-1",8.00,197.00,287.00,"CP"
"Age-1",9.00,204.00,308.00,"CP"
"Age-1",10.00,211.00,315.00,"CP"
"Age-1",11.00,218.00,322.00,"CP"
"Age-1",12.00,218.00,329.00,"CP"
"Age-2+",1.00,239.00,1000.00,"CP"
"Age-2+",2.00,239.00,1000.00,"CP"
"Age-2+",3.00,246.00,1000.00,"CP"
"Age-2+",4.00,253.00,1000.00,"CP"
"Age-2+",5.00,260.00,1000.00,"CP"
"Age-2+",6.00,267.00,1000.00,"CP"
"Age-2+",7.00,288.00,1000.00,"CP"
"Age-2+",8.00,288.00,1000.00,"CP"
"Age-2+",9.00,309.00,1000.00,"CP"
"Age-2+",10.00,316.00,1000.00,"CP"
"Age-2+",11.00,323.00,1000.00,"CP"
"Age-2+",12.00,330.00,1000.00,"CP"
"Age-0",1.00,1.00,10.00,"DS"
"Age-0",2.00,1.00,10.00,"DS"
"Age-0",3.00,1.00,10.00,"DS"
"Age-0",4.00,1.00,33.00,"DS"
"Age-0",5.00,1.00,45.00,"DS"
"Age-0",6.00,1.00,54.00,"DS"
"Age-0",7.00,1.00,60.00,"DS"
"Age-0",8.00,1.00,66.00,"DS"
"Age-0",9.00,1.00,69.00,"DS"
"Age-0",10.00,1.00,72.00,"DS"
"Age-0",11.00,1.00,78.00,"DS"
"Age-0",12.00,1.00,90.00,"DS"
"Age-1+",1.00,11.00,150.00,"DS"
"Age-1+",2.00,11.00,150.00,"DS"
"Age-1+",3.00,11.00,150.00,"DS"
"Age-1+",4.00,34.00,150.00,"DS"
"Age-1+",5.00,46.00,150.00,"DS"
"Age-1+",6.00,55.00,150.00,"DS"
"Age-1+",7.00,61.00,150.00,"DS"
"Age-1+",8.00,67.00,150.00,"DS"
"Age-1+",9.00,70.00,150.00,"DS"
"Age-1+",10.00,73.00,150.00,"DS"
"Age-1+",11.00,79.00,150.00,"DS"
"Age-1+",12.00,91.00,150.00,"DS"
"Age-0",1.00,1.00,36.00,"LFS"
"Age-0",2.00,1.00,36.00,"LFS"
"Age-0",3.00,1.00,42.00,"LFS"
"Age-0",4.00,1.00,51.00,"LFS"
"Age-0",5.00,1.00,60.00,"LFS"
"Age-0",6.00,1.00,66.00,"LFS"
"Age-0",7.00,1.00,72.00,"LFS"
"Age-0",10.00,1.00,87.00,"LFS"
"Age-0",11.00,1.00,90.00,"LFS"
"Age-0",12.00,1.00,96.00,"LFS"
"Age-1+",1.00,37.00,200.00,"LFS"
"Age-1+",2.00,37.00,200.00,"LFS"
"Age-1+",3.00,43.00,200.00,"LFS"
"Age-1+",4.00,52.00,200.00,"LFS"
"Age-1+",5.00,61.00,200.00,"LFS"
"Age-1+",6.00,67.00,200.00,"LFS"
"Age-1+",7.00,73.00,200.00,"LFS"
"Age-1+",8.00,76.00,200.00,"LFS"
"Age-1+",9.00,82.00,200.00,"LFS"
"Age-1+",10.00,88.00,200.00,"LFS"
"Age-1+",11.00,91.00,200.00,"LFS"
"Age-1+",12.00,97.00,200.00,"LFS"
"N/A",1.00,0.00,200.00,"STAG"
"N/A",2.00,0.00,200.00,"STAG"
"N/A",3.00,0.00,200.00,"STAG"
"N/A",4.00,0.00,200.00,"STAG"
"N/A",5.00,0.00,200.00,"STAG"
"N/A",6.00,0.00,200.00,"STAG"
"N/A",7.00,0.00,200.00,"STAG"
"N/A",8.00,0.00,200.00,"STAG"
"N/A",9.00,0.00,200.00,"STAG"
"N/A",10.00,0.00,200.00,"STAG"
"N/A",11.00,0.00,200.00,"STAG"
"N/A",12.00,0.00,200.00,"STAG"
"Age-0",1.00,1.00,10.00,"SF"
"Age-0",2.00,1.00,20.00,"SF"
"Age-0",3.00,1.00,30.00,"SF"
"Age-0",4.00,1.00,50.00,"SF"
"Age-0",5.00,1.00,60.00,"SF"
"Age-0",6.00,1.00,100.00,"SF"
"Age-0",7.00,1.00,120.00,"SF"
"Age-0",8.00,1.00,140.00,"SF"
"Age-0",9.00,1.00,160.00,"SF"
"Age-0",10.00,1.00,170.00,"SF"
"Age-0",11.00,1.00,170.00,"SF"
"Age-0",12.00,1.00,180.00,"SF"
"Age-1",1.00,11.00,190.00,"SF"
"Age-1",2.00,21.00,200.00,"SF"
"Age-1",3.00,31.00,210.00,"SF"
"Age-1",4.00,51.00,230.00,"SF"
"Age-1",5.00,61.00,240.00,"SF"
"Age-1",6.00,101.00,250.00,"SF"
"Age-1",7.00,121.00,270.00,"SF"
"Age-1",8.00,141.00,300.00,"SF"
"Age-1",9.00,161.00,320.00,"SF"
"Age-1",10.00,171.00,320.00,"SF"
"Age-1",11.00,171.00,330.00,"SF"
"Age-2+",3.00,211.00,500.00,"SF"
"Age-2+",4.00,231.00,500.00,"SF"
"Age-2+",5.00,241.00,500.00,"SF"
"Age-2+",6.00,251.00,500.00,"SF"
"Age-2+",7.00,271.00,500.00,"SF"
"Age-2+",8.00,301.00,500.00,"SF"
"Age-2+",9.00,321.00,500.00,"SF"
"Age-2+",10.00,321.00,500.00,"SF"
"Age-2+",11.00,331.00,500.00,"SF"
"Age-2+",12.00,451.00,500.00,"SF"
"N/A",1.00,0.00,300.00,"STBK"
"N/A",2.00,0.00,300.00,"STBK"
"N/A",3.00,0.00,300.00,"STBK"
"N/A",4.00,0.00,300.00,"STBK"
"N/A",5.00,0.00,300.00,"STBK"
"N/A",6.00,0.00,300.00,"STBK"
"N/A",7.00,0.00,300.00,"STBK"
"N/A",8.00,0.00,300.00,"STBK"
"N/A",9.00,0.00,300.00,"STBK"
"N/A",10.00,0.00,300.00,"STBK"
"N/A",11.00,0.00,300.00,"STBK"
"N/A",12.00,0.00,300.00,"STBK"
"Age-0",1.00,1.00,30.00,"SCP"
"Age-0",2.00,1.00,32.00,"SCP"
"Age-0",3.00,1.00,44.00,"SCP"
"Age-0",4.00,1.00,52.00,"SCP"
"Age-0",5.00,1.00,68.00,"SCP"
"Age-0",6.00,1.00,76.00,"SCP"
"Age-0",7.00,1.00,86.00,"SCP"
"Age-0",8.00,1.00,94.00,"SCP"
"Age-0",9.00,1.00,96.00,"SCP"
"Age-0",10.00,1.00,98.00,"SCP"
"Age-0",11.00,1.00,104.00,"SCP"
"Age-0",12.00,1.00,112.00,"SCP"
"Age-1+",3.00,45.00,250.00,"SCP"
"Age-1+",4.00,53.00,250.00,"SCP"
"Age-1+",5.00,69.00,250.00,"SCP"
"Age-1+",6.00,77.00,250.00,"SCP"
"Age-1+",7.00,87.00,250.00,"SCP"
"Age-1+",8.00,95.00,250.00,"SCP"
"Age-1+",9.00,97.00,250.00,"SCP"
"Age-1+",10.00,99.00,250.00,"SCP"
"Age-1+",11.00,105.00,250.00,"SCP"
"Age-1+",12.00,113.00,250.00,"SCP"
"Age-0",8.00,1.00,75.00,"LFS"
"Age-0",9.00,1.00,81.00,"LFS"
"Age-1",12.00,181.00,450.00,"SF"
"Age-2+",1.00,191.00,500.00,"SF"
"Age-2+",2.00,201.00,500.00,"SF"
"Age-1+",1.00,31.00,250.00,"SCP"
"Age-1+",2.00,33.00,250.00,"SCP"
"N/A",1.00,0.00,1000.00,"SKR"
"N/A",2.00,0.00,1000.00,"SKR"
"N/A",3.00,0.00,1000.00,"SKR"
"N/A",4.00,0.00,1000.00,"SKR"
"N/A",5.00,0.00,1000.00,"SKR"
"N/A",6.00,0.00,1000.00,"SKR"
"N/A",7.00,0.00,1000.00,"SKR"
"N/A",8.00,0.00,1000.00,"SKR"
"N/A",9.00,0.00,1000.00,"SKR"
"N/A",10.00,0.00,1000.00,"SKR"
"N/A",11.00,0.00,1000.00,"SKR"
"N/A",12.00,0.00,1000.00,"SKR"
"N/A",1.00,1.00,400.00,"BF"
"N/A",2.00,1.00,400.00,"BF"
"N/A",3.00,1.00,400.00,"BF"
"N/A",4.00,1.00,400.00,"BF"
"N/A",5.00,1.00,400.00,"BF"
"N/A",6.00,1.00,400.00,"BF"
"N/A",7.00,1.00,400.00,"BF"
"N/A",8.00,1.00,400.00,"BF"
"N/A",9.00,1.00,400.00,"BF"
"N/A",10.00,1.00,400.00,"BF"
"N/A",11.00,1.00,400.00,"BF"
"N/A",12.00,1.00,400.00,"BF"
"N/A",1.00,1.00,350.00,"BLB"
"N/A",2.00,1.00,350.00,"BLB"
"N/A",3.00,1.00,350.00,"BLB"
"N/A",4.00,1.00,350.00,"BLB"
"N/A",5.00,1.00,350.00,"BLB"
"N/A",6.00,1.00,350.00,"BLB"
"N/A",7.00,1.00,350.00,"BLB"
"N/A",8.00,1.00,350.00,"BLB"
"N/A",9.00,1.00,350.00,"BLB"
"N/A",10.00,1.00,350.00,"BLB"
"N/A",11.00,1.00,350.00,"BLB"
"N/A",12.00,1.00,350.00,"BLB"
"N/A",1.00,1.00,450.00,"CCF"
"N/A",2.00,1.00,450.00,"CCF"
"N/A",3.00,1.00,450.00,"CCF"
"N/A",4.00,1.00,450.00,"CCF"
"N/A",5.00,1.00,450.00,"CCF"
"N/A",6.00,1.00,450.00,"CCF"
"N/A",7.00,1.00,450.00,"CCF"
"N/A",8.00,1.00,450.00,"CCF"
"N/A",9.00,1.00,450.00,"CCF"
"N/A",10.00,1.00,450.00,"CCF"
"N/A",11.00,1.00,450.00,"CCF"
"N/A",12.00,1.00,450.00,"CCF"
"N/A",1.00,1.00,700.00,"CS"
"N/A",2.00,1.00,700.00,"CS"
"N/A",3.00,1.00,700.00,"CS"
"N/A",4.00,1.00,700.00,"CS"
"N/A",5.00,1.00,700.00,"CS"
"N/A",6.00,1.00,700.00,"CS"
"N/A",7.00,1.00,700.00,"CS"
"N/A",8.00,1.00,700.00,"CS"
"N/A",9.00,1.00,700.00,"CS"
"N/A",10.00,1.00,700.00,"CS"
"N/A",11.00,1.00,700.00,"CS"
"N/A",12.00,1.00,700.00,"CS"
"N/A",1.00,1.00,250.00,"HCH"
"N/A",2.00,1.00,250.00,"HCH"
"N/A",3.00,1.00,250.00,"HCH"
"N/A",4.00,1.00,250.00,"HCH"
"N/A",5.00,1.00,250.00,"HCH"
"N/A",6.00,1.00,250.00,"HCH"
"N/A",7.00,1.00,250.00,"HCH"
"N/A",8.00,1.00,250.00,"HCH"
"N/A",9.00,1.00,250.00,"HCH"
"N/A",10.00,1.00,250.00,"HCH"
"N/A",11.00,1.00,250.00,"HCH"
"N/A",12.00,1.00,250.00,"HCH"
"N/A",1.00,1.00,50.00,"MQF"
"N/A",2.00,1.00,50.00,"MQF"
"N/A",3.00,1.00,50.00,"MQF"
"N/A",4.00,1.00,50.00,"MQF"
"N/A",5.00,1.00,50.00,"MQF"
"N/A",6.00,1.00,50.00,"MQF"
"N/A",7.00,1.00,50.00,"MQF"
"N/A",8.00,1.00,50.00,"MQF"
"N/A",9.00,1.00,50.00,"MQF"
"N/A",10.00,1.00,50.00,"MQF"
"N/A",11.00,1.00,50.00,"MQF"
"N/A",12.00,1.00,50.00,"MQF"
"N/A",1.00,1.00,150.00,"NAC"
"N/A",2.00,1.00,150.00,"NAC"
"N/A",3.00,1.00,150.00,"NAC"
"N/A",4.00,1.00,150.00,"NAC"
"N/A",5.00,1.00,150.00,"NAC"
"N/A",6.00,1.00,150.00,"NAC"
"N/A",7.00,1.00,150.00,"NAC"
"N/A",8.00,1.00,150.00,"NAC"
"N/A",9.00,1.00,150.00,"NAC"
"N/A",10.00,1.00,150.00,"NAC"
"N/A",11.00,1.00,150.00,"NAC"
"N/A",12.00,1.00,150.00,"NAC"
"N/A",1.00,1.00,150.00,"PH"
"N/A",2.00,1.00,150.00,"PH"
"N/A",3.00,1.00,150.00,"PH"
"N/A",4.00,1.00,150.00,"PH"
"N/A",5.00,1.00,150.00,"PH"
"N/A",6.00,1.00,150.00,"PH"
"N/A",7.00,1.00,150.00,"PH"
"N/A",8.00,1.00,150.00,"PH"
"N/A",9.00,1.00,150.00,"PH"
"N/A",10.00,1.00,150.00,"PH"
"N/A",11.00,1.00,150.00,"PH"
"N/A",12.00,1.00,150.00,"PH"
"N/A",1.00,1.00,50.00,"RWK"
"N/A",2.00,1.00,50.00,"RWK"
"N/A",3.00,1.00,50.00,"RWK"
"N/A",4.00,1.00,50.00,"RWK"
"N/A",5.00,1.00,50.00,"RWK"
"N/A",6.00,1.00,50.00,"RWK"
"N/A",7.00,1.00,50.00,"RWK"
"N/A",8.00,1.00,50.00,"RWK"
"N/A",9.00,1.00,50.00,"RWK"
"N/A",10.00,1.00,50.00,"RWK"
"N/A",11.00,1.00,50.00,"RWK"
"N/A",12.00,1.00,50.00,"RWK"
"N/A",1.00,1.00,500.00,"SPM"
"N/A",2.00,1.00,500.00,"SPM"
"N/A",3.00,1.00,500.00,"SPM"
"N/A",4.00,1.00,500.00,"SPM"
"N/A",5.00,1.00,500.00,"SPM"
"N/A",6.00,1.00,500.00,"SPM"
"N/A",7.00,1.00,500.00,"SPM"
"N/A",8.00,1.00,500.00,"SPM"
"N/A",9.00,1.00,500.00,"SPM"
"N/A",10.00,1.00,500.00,"SPM"
"N/A",11.00,1.00,500.00,"SPM"
"N/A",12.00,1.00,500.00,"SPM"
"N/A",1.00,1.00,150.00,"WAK"
"N/A",2.00,1.00,150.00,"WAK"
"N/A",3.00,1.00,150.00,"WAK"
"N/A",4.00,1.00,150.00,"WAK"
"N/A",5.00,1.00,150.00,"WAK"
"N/A",6.00,1.00,150.00,"WAK"
"N/A",7.00,1.00,150.00,"WAK"
"N/A",8.00,1.00,150.00,"WAK"
"N/A",9.00,1.00,150.00,"WAK"
"N/A",10.00,1.00,150.00,"WAK"
"N/A",11.00,1.00,150.00,"WAK"
"N/A",12.00,1.00,150.00,"WAK"
"N/A",1.00,1.00,400.00,"WC"
"N/A",2.00,1.00,400.00,"WC"
"N/A",3.00,1.00,400.00,"WC"
"N/A",4.00,1.00,400.00,"WC"
"N/A",5.00,1.00,400.00,"WC"
"N/A",6.00,1.00,400.00,"WC"
"N/A",7.00,1.00,400.00,"WC"
"N/A",8.00,1.00,400.00,"WC"
"N/A",9.00,1.00,400.00,"WC"
"N/A",10.00,1.00,400.00,"WC"
"N/A",11.00,1.00,400.00,"WC"
"N/A",12.00,1.00,400.00,"WC"
"N/A",1.00,1.00,2000.00,"WS"
"N/A",2.00,1.00,2000.00,"WS"
"N/A",3.00,1.00,2000.00,"WS"
"N/A",4.00,1.00,2000.00,"WS"
"N/A",5.00,1.00,2000.00,"WS"
"N/A",6.00,1.00,2000.00,"WS"
"N/A",7.00,1.00,2000.00,"WS"
"N/A",8.00,1.00,2000.00,"WS"
"N/A",9.00,1.00,2000.00,"WS"
"N/A",10.00,1.00,2000.00,"WS"
"N/A",11.00,1.00,2000.00,"WS"
"N/A",12.00,1.00,2000.00,"WS"
"N/A",1.00,1.00,500.00,"YFG"
"N/A",2.00,1.00,500.00,"YFG"
"N/A",3.00,1.00,500.00,"YFG"
"N/A",4.00,1.00,500.00,"YFG"
"N/A",5.00,1.00,500.00,"YFG"
"N/A",6.00,1.00,500.00,"YFG"
"N/A",7.00,1.00,500.00,"YFG"
"N/A",8.00,1.00,500.00,"YFG"
"N/A",9.00,1.00,500.00,"YFG"
"N/A",10.00,1.00,500.00,"YFG"
"N/A",11.00,1.00,500.00,"YFG"
"N/A",12.00,1.00,500.00,"YFG"
"Age-0",1.00,1.00,40.00,"ASH"
"Age-0",2.00,1.00,40.00,"ASH"
"Age-0",3.00,1.00,40.00,"ASH"
"Age-0",4.00,1.00,55.00,"ASH"
"Age-0",5.00,1.00,65.00,"ASH"
"Age-0",6.00,1.00,75.00,"ASH"
"Age-0",7.00,1.00,90.00,"ASH"
"Age-0",8.00,1.00,110.00,"ASH"
"Age-0",9.00,1.00,115.00,"ASH"
"Age-0",10.00,1.00,125.00,"ASH"
"Age-0",11.00,1.00,130.00,"ASH"
"Age-0",12.00,1.00,140.00,"ASH"
"Age-1+",1.00,41.00,400.00,"ASH"
"Age-1+",2.00,41.00,400.00,"ASH"
"Age-1+",3.00,41.00,400.00,"ASH"
"Age-1+",4.00,56.00,400.00,"ASH"
"Age-1+",5.00,66.00,400.00,"ASH"
"Age-1+",6.00,76.00,400.00,"ASH"
"Age-1+",7.00,91.00,400.00,"ASH"
"Age-1+",8.00,111.00,400.00,"ASH"
"Age-1+",9.00,116.00,400.00,"ASH"
"Age-1+",10.00,126.00,400.00,"ASH"
"Age-1+",11.00,131.00,400.00,"ASH"
"Age-1+",12.00,141.00,400.00,"ASH"
"Age-0",1.00,1.00,19.00,"SG"
"Age-0",2.00,1.00,19.00,"SG"
"Age-0",3.00,1.00,19.00,"SG"
"Age-0",4.00,1.00,21.00,"SG"
"Age-0",5.00,1.00,22.00,"SG"
"Age-0",6.00,1.00,23.00,"SG"
"Age-0",7.00,1.00,24.00,"SG"
"Age-0",8.00,1.00,28.00,"SG"
"Age-0",9.00,1.00,46.00,"SG"
"Age-0",10.00,1.00,52.00,"SG"
"Age-0",11.00,1.00,55.00,"SG"
"Age-0",12.00,1.00,57.00,"SG"
"Age-1+",1.00,20.00,200.00,"SG"
"Age-1+",2.00,20.00,200.00,"SG"
"Age-1+",3.00,20.00,200.00,"SG"
"Age-1+",4.00,22.00,200.00,"SG"
"Age-1+",5.00,23.00,200.00,"SG"
"Age-1+",6.00,24.00,200.00,"SG"
"Age-1+",7.00,25.00,200.00,"SG"
"Age-1+",8.00,29.00,200.00,"SG"
"Age-1+",9.00,47.00,200.00,"SG"
"Age-1+",10.00,53.00,200.00,"SG"
"Age-1+",11.00,56.00,200.00,"SG"
"Age-1+",12.00,58.00,200.00,"SG"
"Age-0",1.00,1.00,15.00,"SKG"
"Age-0",2.00,1.00,15.00,"SKG"
"Age-0",3.00,1.00,15.00,"SKG"
"Age-0",4.00,1.00,15.00,"SKG"
"Age-0",5.00,1.00,22.00,"SKG"
"Age-0",6.00,1.00,30.00,"SKG"
"Age-0",7.00,1.00,38.00,"SKG"
"Age-0",8.00,1.00,48.00,"SKG"
"Age-0",9.00,1.00,58.00,"SKG"
"Age-0",10.00,1.00,64.00,"SKG"
"Age-0",11.00,1.00,68.00,"SKG"
"Age-0",12.00,1.00,72.00,"SKG"
"Age-1+",1.00,16.00,200.00,"SKG"
"Age-1+",2.00,16.00,200.00,"SKG"
"Age-1+",3.00,16.00,200.00,"SKG"
"Age-1+",4.00,16.00,200.00,"SKG"
"Age-1+",5.00,23.00,200.00,"SKG"
"Age-1+",6.00,31.00,200.00,"SKG"
"Age-1+",7.00,39.00,200.00,"SKG"
"Age-1+",8.00,49.00,200.00,"SKG"
"Age-1+",9.00,59.00,200.00,"SKG"
"Age-1+",10.00,65.00,200.00,"SKG"
"Age-1+",11.00,69.00,200.00,"SKG"
"Age-1+",12.00,73.00,200.00,"SKG"
"Age-0",1.00,1.00,115.00,"BC"
"Age-0",2.00,1.00,115.00,"BC"
"Age-0",3.00,1.00,120.00,"BC"
"Age-0",4.00,1.00,35.00,"BC"
"Age-0",5.00,1.00,50.00,"BC"
"Age-0",6.00,1.00,70.00,"BC"
"Age-0",7.00,1.00,80.00,"BC"
"Age-0",8.00,1.00,85.00,"BC"
"Age-0",9.00,1.00,95.00,"BC"
"Age-0",10.00,1.00,105.00,"BC"
"Age-0",11.00,1.00,105.00,"BC"
"Age-0",12.00,1.00,115.00,"BC"
"Age-1+",1.00,116.00,1000.00,"BC"
"Age-1+",2.00,116.00,1000.00,"BC"
"Age-1+",3.00,121.00,1000.00,"BC"
"Age-1+",4.00,36.00,1000.00,"BC"
"Age-1+",5.00,51.00,1000.00,"BC"
"Age-1+",6.00,71.00,1000.00,"BC"
