"Common.Name","Genus","Species","Family","Fish.Code","Symbol","TNS.Field","MWT.Species.Code","MWT.Field"
"Topsmelt","Atherinops","affinis","Atherinopsidae",33,"TSM","TOPSMELT",39,"TOPSMELT"
"Jacksmelt","Atherinopsis","californiensis","Atherinopsidae",34,"JS","JACKSMLT",8,"JACKSMLT"
"Inland Silverside","Menidia","beryllina","Atherinopsidae",53,"ISS","INLDSLVR",12,"INLSLVER"
"Bay Pipefish","Syngnathus","leptorhynchus","Syngnathidae",35,"BPF","BAYPIPE",71,"BAYPIPEF"
"Redear Sunfish","Lepomis","microlophus","Centrarchidae",56,"RES",NA,NA,NA
"Green Sunfish","Lepomis","cyanellus","Centrarchidae",37,"GSF","GRNSUNF",53,"GRNSNFSH"
"Bluegill Sunfish","Lepomis","macrochirus","Centrarchidae",38,"BGS","BLUEGILL",52,"BLUEGILL"
"Largemouth Bass","Micropterus","salmoides","Centrarchidae",39,"LMB","LRGMBASS",55,"LMTHBASS"
"White Crappie","Pomoxis","annularis","Centrarchidae",40,"WC","WHTCRAPP",7,"WHTCRAPP"
"Black Crappie","Pomoxis","nigromaculatus","Centrarchidae",41,"BC","BLKCRAP",6,"BLKCRAPP"
"Sacramento Perch","Archoplites","interruptus","Centrarchidae",42,"SP","SACPERCH",51,"SACPERCH"
"Mosquitofish","Gambusia","affinis","Poeciliidae",31,"GAM","MOSQUITO",70,"MOSQUITO"
"Bigscale Logperch","Percina","macrolepida","Percidae",44,"BLP","LOGPERCH",72,"BSCALELG"
"Tule Perch","Hysterocarpus","traski","Embiotocidae",46,"TP","TULEPRCH",40,"TULEPRCH"
"Shiner Perch","Cymatogaster","aggregata","Embiotocidae",47,"SHP","SHNRPRCH",21,"SHNRPRCH"
"Pacific Staghorn Sculpin","Leptocottus","armatus","Cottidae",48,"SSC","STAGHORN",30,"PSTGSCLP"
"Prickly Sculpin","Cottus","asper","Cottidae",49,"PSC","PRKSCULP",73,"PRCKSCUL"
"Plainfin Midshipman","Porichthys","notatus","Batrachoididae",50,"PFM","PLNMIDSH",14,"PMIDSHIP"
"White Croaker","Genyonemus","lineatus","Sciaenidae",51,"WCR","WHTCROAK",41,"WHTCROAK"
"Pacific Lamprey","Lampetra","tridentata","Petromyzontidae",61,"PL","PACLAMP",10,"PLAMPREY"
"River Lamprey","Lampetra","ayresi","Petromyzontidae",62,"RL","RIVRLAMP",11,"RLAMPREY"
"Sacramento Sucker","Catostomus","occidentalis","Catostomidae",64,"SUC","SACSUCKR",66,"SACSUCKR"
"Rainwater Killifish","Lucania","parva","Fundulidae",65,"RK","RAINKILL",NA,NA
"Unknown",NA,NA,"Unknown",99,"UNK","UNKNOWN",NA,NA
"Smelt (Unid)",NA,NA,"Osmeridae",1,"OSM","SMELT",88,"SMLTFMLY"
"Herring (Unid)",NA,NA,"Clupeidae",4,"CLU","SHADFMLY",NA,NA
"Catfish (Unid)",NA,NA,"Ictaluridae",7,"ICT","CATFISH",NA,NA
"Gobies (Unid)",NA,NA,"Gobiidae",11,"GOB","GOBYFAML",NA,NA
"Cyprinids (Unid)",NA,NA,"Cyprinidae",24,"CYP","MINNOWS",NA,NA
"Silversides (Unid)",NA,NA,"Atherinopsidae",32,"ATH","SLVESIDF",NA,NA
"Centrarchids (Unid)",NA,NA,"Centrarchidae",36,"CNT","SUNFISHF",NA,NA
"Perches (Unid)",NA,NA,"Percidae",43,"PER",NA,NA,NA
"Surfperches (Unid)",NA,NA,"Embiotocidae",45,"EMB","SURFPRCH",NA,NA
"Sculpins (Unid)",NA,NA,"Cottidae",63,"COT","SCULPINF",NA,NA
"Lampreys (Unid)",NA,NA,"Petromyzontidae",60,"PET","LAMPREYF",NA,NA
"Cheekspot Goby","Ilypnus","gilberti","Gobiidae",70,"CSG","CHEKGOBY",75,"CHKSGOBY"
"Longjaw Mudsucker","Gillichthys","mirabilis","Gobiidae",69,"LJM","LNGJAWMD",NA,NA
"Smallmouth Bass","Micropterus","dolomieu","Centrarchidae",68,"SMB","SMLMBASS",94,"SMTHBASS"
"Striped Bass","Morone","saxatilis","Moronidae",0,"SB0","STPBASS0",33,"STPBASS0"
"Sturgeon (Unid)",NA,NA,"Acipenseridae",21,"ACI","STURGFMY",NA,NA
"Bat Ray","Myliobatis","californica","Myliobatididae",NA,NA,NA,1,"BATRAY"
"Big Skate","Raja","binoculata","Rajidae",NA,NA,NA,2,"BIGSKATE"
"Pacific Pompano","Peprilus","simillimus","Stromateidae",NA,NA,NA,15,"PBUTTER"
"Pacific Sanddab","Citharichthys","sordidus","Paralichthyidae",NA,NA,NA,17,"PSANDAB"
"Pacific Tomcod","Microgadus","proximus","Gadidae",NA,NA,NA,18,"PTOMCOD"
"Leopard Shark","Triakis","semifasciata","Triakidae",NA,NA,NA,58,"LEOPSHRK"
"Brown Smoothhound","Mustelus","henlei","Triakidae",NA,NA,NA,59,"BRNSMHND"
"California Halibut","Paralichthys","californicus","Paralichthyidae",NA,NA,NA,78,"CHALIBUT"
"Speckled Sanddab","Citharichthys","stigmaeus","Paralichthyidae",80,NA,NA,80,"SPKSANDB"
"Diamond Turbot","Hypsopsetta","guttulata","Pleuronectidae",NA,NA,NA,82,"DIATURBT"
"Palaemon","Palaemon","macrodactylus","Caridae",NA,NA,NA,23,"PALAEMON"
"Night Smelt","Spirinchus","starski","Osmeridae",NA,NA,NA,26,"NGHTSMLT"
"Surf Smelt","Hypomesus","pretiosis","Osmeridae",NA,NA,NA,27,"SURFSMLT"
"Whitebait Smelt","Allosmerus","elongatus","Osmeridae",NA,NA,NA,28,"WBATSMLT"
"Walleye Surfperch","Hyperprosopon","ellipticum","Embiotocidae",NA,NA,NA,43,"WALSPRCH"
"Pile perch","Rhacochilas","vacca","Embiotocidae",NA,NA,NA,47,"PILEPRCH"
"Black Surfperch","Embiotoca","jacksoni","Embiotocidae",NA,NA,NA,49,"BLKPERCH"
"Spiny Dogfish","Squalus","acantias","Squalidae",NA,NA,NA,57,"SPINYDOG"
"Sacramento Blackfish","Orthodon","microlepidotus","Cyprinidae",71,"SBF",NA,62,"SACBLAKF"
"Sand Sole","Psettichthys","melanostictus","Pleuronectidae",NA,NA,NA,81,"SANDSOLE"
"English Sole","Pleuronectes","vetulus","Pleuronectidae",NA,NA,NA,83,"ENGLSOLE"
"Flatfish (Unid)",NA,NA,NA,NA,NA,NA,84,"FLATFISH"
"Rock Sole","Lepidopsetta","bilineata","Pleuronectidae",NA,NA,NA,85,"ROCKSOLE"
"Wolf Eel","Anarrhichthys","ocellatus","Anarhichadidae",NA,NA,NA,87,"WOLFEEL"
"Pacific Electric Ray","Torpedo","californica","Torpedinidae",NA,NA,NA,91,"PACELRAY"
"Dwarf Surfperch","Micrometrus","minimus","Embiotocidae",NA,NA,NA,50,"DWFPERCH"
"Grey Smoothhound","Mustelus","californica","Triakidae",NA,NA,NA,67,"GRYSMHND"
"Lingcod","Ophiodon","elongatus","Hexagrammidae",NA,NA,NA,86,"LINGCOD"
"Rubberlip Seaperch","Rhacochilus","toxotes","Embiotocidae",NA,NA,NA,44,"RUBLPRCH"
"Broadnose Sevengill Shark","Notorynchus","cepodianus","Hexanchidae",NA,NA,NA,56,"SEVNGSHK"
"Spotfin Surfperch","Hyperprosopon","anale","Embiotocidae",NA,NA,NA,89,"SPTFPRCH"
"White Seaperch","Phanerodon","furcatus","Embiotocidae",NA,NA,NA,90,"WHTSPRCH"
"Striped Bass Adult2","Morone","saxatilis","Moronidae",NA,NA,NA,35,"STPBASS2"
"Calico Surfperch","Amphistichus","koelzi","Embiotocidae",NA,NA,NA,45,"CALSPRCH"
"Redtail Surfperch","Amphistichus","rhodoterus","Embiotocidae",NA,NA,NA,46,"RTLSPRCH"
"Barred Surfperch","Amphistichus","argenteus","Embiotocidae",NA,NA,NA,48,"BRDSPRCH"
"Warmouth","Lepomis","gulosus","Centrarchidae",17,"WAM",NA,54,"WARMOUTH"
"California Skate","Raja","inornata","Rajidae",NA,NA,NA,60,"CALSKATE"
"Black Bullhead","Ameiurus","melas","Ictaluridae",18,"BLB",NA,68,"BLKBULHD"
"California Tonguefish","Symphurus","atricauda","Cynoglossidae",NA,NA,NA,77,"CATONGUE"
"Pacific Halibut","Hippoglossus","stenolepis","Pleuronectidea",NA,NA,NA,79,"PHALIBUT"
"Red Shiner","Notropis","lutrensis","Cyprinidae",72,"RSH",NA,NA,NA
"Fathead Minnow","Pimephales","promelas","Cyprinidae",73,"FHM",NA,NA,NA
"Shokihaze Goby","Tridentiger","barbatus","Gobiidae",74,"SHO",NA,NA,NA
"Tridentiger spp.","Tridentiger",NA,"gobiidae",75,"TRI",NA,NA,NA
"Blue Catfish","Ictalurus","furcatus","Ictaluridae",7105,NA,NA,NA,NA
"Unid Flounder",NA,NA,NA,3127,NA,NA,NA,NA
"Penpoint Gunnel","Apodichthys","flavidus","Pholidae",2826,NA,NA,NA,NA
"Saddleback Gunnel","Pholis","ornata","Pholidae",2829,NA,NA,NA,NA
"Monkeyface Prickleback","Cebidichthys","violaceus","Stichaeidae",2775,NA,NA,NA,NA
"Prickleback spp.",NA,NA,"Stichaeidae",2813,NA,NA,NA,NA
"Brown Rockfish","Sebastes","auriculatus","Sebastidae",96,"BRF",NA,NA,NA
