"StudyYear","MeterSerial","CalibrationDate","kfactor","Notes"
2006,12207,NA,0.026873027,NA
2006,14977,NA,0.0276912,NA
2006,14979,NA,0.026931191,"Used average of 2005 and 2007 mean Calibrations"
2006,14980,NA,0.02691134,"Used 2005 mean Calibration Value"
2006,14982,NA,0.025038,"Used 2005 calibration"
2006,16969,NA,0.026873027,NA
2006,19296,NA,0.0282868,"Used 2003 Calibration Value"
2006,19299,NA,0.0260194,"Used 2003 Calibration Value"
2006,20306,NA,0.026873027,NA
2006,21039,NA,0.026873027,NA
2007,12441,2007-02-01,0.02691418,"Housing Broken(6/6/07)"
2007,14958,2007-02-01,0.026597643,NA
2007,14979,2007-02-01,0.026556681,NA
2007,19296,2007-02-01,0.026853474,NA
2007,20373,NA,0.026873027,"New Meter: Used Factory Calibration (Loaned to Dave C. Townet 6/5/07)"
2007,21901,NA,0.026873027,"New Meter: Used Factory Calibration (Loaned to Dave C. FMWT 12/5/07)"
2007,21920,NA,0.026873027,"New Meter: Used Factory Calibration"
2007,21923,NA,0.026873027,"New Meter: Used Factory Calibration (Loaned to Dave C. Townet 6/5/07)"
2007,22083,NA,0.026873027,"New Meter: Used Factory Calibration (Loaned to Dave C. FMWT 12/5/07)"
2007,22084,NA,0.026873027,"New Meter: Used Factory Calibration"
2008,12994,NA,0.026873027,"Used Factory Calibration"
2008,14977,NA,0.0276912,NA
2008,14979,2007-02-01,0.026556681,"Used 2007 Calibration Value"
2008,16969,NA,0.026873027,"(Loaned to Dave C. FMWT 11/5/08)"
2008,21901,NA,0.026873027,"Used 2007 Factory Calibration Value (Lost overboard on SKT 4/9/2008)"
2008,21920,NA,0.026873027,"Used 2007 Factory Calibration Value"
2008,22863,NA,0.026873027,"New Meter: Used Factory Calibration"
2008,22876,NA,0.026873027,"New Meter: Used Factory Calibration"
2008,99999,NA,0.026873027,"Made up serial number for 2008, survey 4. No working CB meter on boat, used factory calibration value and entered station/duration averages for readings"
2009,13291,2009-01-08,0.029066656,"Meter lost on 3/9/09 (lost whole sled at St 918)"
2009,14979,2008-09-25,0.0255831,NA
2009,16969,2009-01-08,0.0269553,NA
2009,20306,2009-01-08,0.027197,NA
2009,20780,NA,0.026873027,"New Meter: Used Factory Calibration"
2009,21920,2008-09-25,0.0265876,NA
2009,22084,NA,0.026873027,"Used 2007 Factory Calibration"
2009,22085,NA,0.026873027,"New Meter: Used Factory Calibration"
2009,22847,NA,0.026873027,"New meter: used factory calibration"
2009,22865,NA,0.026873027,"New Meter: Used Factory Calibration"
2009,22876,2008-09-25,0.02643,"Meter lost on 3/9/09 (lost whole sled at St 918)"
2009,23286,NA,0.026873027,"New meter: used factory calibration (borrowed from Contreras, FMWT)"
2009,23294,NA,0.026873027,"New meter: used factory calibration (borrowed from Contreras, FMWT)"
2010,14979,2009-09-22,0.0293334,NA
2010,20306,2010-03-18,0.0264994,NA
2010,20780,2009-09-22,0.027015,NA
2010,21920,2009-09-22,0.0275968,NA
2010,22084,2010-03-18,0.0260449,NA
2010,22085,2009-09-22,0.0297675,NA
2010,22847,2010-03-18,0.025867,NA
2010,22865,2010-03-18,0.0261913,NA
2010,23240,NA,0.026873027,"New meter: used factory calibration"
2010,23306,NA,0.026873027,"New meter: used factory calibration"
2010,23749,NA,0.026873027,"New meter: used factory calibration"
2010,23807,NA,0.026873027,"New meter: used factory calibration (Lost propeller on SKT)"
2010,23811,NA,0.026873027,"New meter: used factory calibration"
2010,23813,NA,0.026873027,"New meter: used factory calibration"
2010,23814,NA,0.026873027,"New meter: used factory calibration"
2010,23912,NA,0.026873027,"New meter: used factory calibration"
2010,23936,NA,0.026873027,"New meter: used factory calibration"
2010,23978,NA,0.026873027,"New meter: used factory calibration"
2011,21920,2010-12-02,0.0272156,NA
2011,22847,2010-12-02,0.0259802,NA
2011,23811,2010-12-02,0.0263027,NA
2011,23814,2010-12-02,0.0260275,NA
2011,23912,2010-12-02,0.027197,NA
2011,24565,2011-01-26,0.0266521,NA
2011,24567,NA,0.026873027,"New meter: used factory calibration"
2011,24579,2011-01-26,0.0264846,NA
2011,24584,2011-01-26,0.0262211,NA
2011,24590,2011-01-26,0.0262896,NA
2011,24593,NA,0.026873027,"New meter: used factory calibration"
2011,24596,2011-01-26,0.0264346,NA
2011,24599,NA,0.026873027,"New meter: used factory calibration"
2012,24584,2011-01-26,0.0262211,NA
2012,24593,2012-02-28,0.025715404,NA
2012,24596,2011-01-26,0.0264346,NA
2012,24599,2012-02-28,0.025595562,NA
2012,24648,2012-02-28,0.025759451,NA
2012,24653,2012-02-28,0.025483646,NA
2012,24662,NA,0.026873027,"TEMP FACTOR!!"
2013,20780,2012-12-27,NA,"Value too high to enter: 0.03213381"
2013,23811,2013-03-01,0.026003446,NA
2013,23813,2013-03-01,0.026292153,NA
2013,24579,2013-03-01,0.026221835,NA
2013,24584,2012-12-27,0.0258132,NA
2013,24593,2012-12-27,0.0261157,NA
2013,24599,2012-12-27,0.0258476,NA
2013,24653,2012-12-27,0.0258815,NA
2013,24664,2013-03-01,0.026190996,NA
2014,22847,2013-12-17,0.0253191,NA
2014,23811,2013-03-01,0.026003446,"From 2013"
2014,23814,2013-12-17,0.025095,NA
2014,24565,2013-03-01,0.0258744,"From 2013"
2014,24579,2013-03-01,0.026221835,"Used 2013 Value"
2014,24590,2013-12-17,0.0264855,NA
2014,24593,2013-12-17,0.026873027,"temp factor"
2014,24663,NA,0.026873027,"Temp factor"
2014,24664,2013-12-17,0.0252168,NA
2015,23811,2014-12-23,0.026873027,"Temp factor due to concern about calibrations"
2015,23813,2014-12-23,0.026873027,"Temp factor due to concern about calibrations"
2015,23922,2014-12-23,0.026873027,"Temp factor due to concern about calibrations"
2015,24565,2014-12-23,0.026873027,"Temp factor due to concern about calibrations"
2015,24567,2014-12-23,0.026873027,"Temp factor due to concern about calibrations"
2015,24579,2014-12-23,0.026873027,"Temp factor due to concern about calibrations"
2015,24590,2014-12-23,0.026873027,"Temp factor due to concern about calibrations"
2015,24596,2014-12-23,0.026873027,"Temp factor due to concern about calibrations"
2016,23813,2016-01-01,0.026873027,"Temp factor due to concern about calibrations"
2016,23814,2016-01-01,0.026873027,"Temp factor due to concern about calibrations"
2016,24565,2016-01-01,0.026873027,"Temp factor due to concern about calibrations"
2016,24567,2016-01-01,0.026873027,"Temp factor due to concern about calibrations"
2016,24584,2016-01-01,0.026873027,"Temp factor due to concern about calibrations"
2016,24590,2016-01-01,0.026873027,"Temp factor due to concern about calibrations"
2016,24593,2016-01-01,0.026873027,"Temp factor due to concern about calibrations"
2017,16977,2016-12-15,0.026873027,"Meter refurbished by General Oceanics 12/15/2016"
2017,16978,2016-12-15,0.026873027,"Meter refurbished by General Oceanics 12/15/2016"
2017,23811,2016-01-01,0.026873027,"Meter refurbished by General Oceanics 12/15/2016"
2017,24565,NA,0.026873027,NA
2017,24567,2016-12-15,0.026873027,"Meter refurbished by General Oceanics 12/15/2016"
2017,24579,NA,0.026873027,NA
2017,24648,NA,0.026873027,NA
2017,24653,2017-12-15,0.026873027,"Meter refurbished by General Oceanics 12/15/2016"
2017,24662,2016-12-15,0.026873027,"Meter refurbished by General Oceanics 12/15/2016"
2017,24663,2016-12-15,0.026873027,"Meter refurbished by General Oceanics 12/15/2016"
2017,28300,NA,0.026873027,NA
2017,28301,2016-01-01,0.026873027,"Meter refurbished by General Oceanics 12/15/2016"
2018,16977,NA,0.026873027,NA
2018,16978,NA,0.026873027,NA
2018,24579,NA,0.026873027,NA
2018,24584,NA,0.026873027,NA
2018,24593,NA,0.026873027,"Temporary"
2018,24596,NA,0.026873027,"Temporary"
2018,24653,NA,0.026873027,"Temporary"
2018,24662,NA,0.026873027,NA
2018,24663,NA,0.026873027,"Temporary"
2018,28244,NA,0.026873027,NA
2018,28300,NA,0.026873027,NA
2019,24053,NA,0.026873027,NA
2019,24565,NA,0.026873027,NA
2019,24567,NA,0.026873027,NA
2019,24593,NA,0.026873027,NA
2019,24598,NA,0.026873027,NA
2019,24653,NA,0.026873027,NA
2019,24662,NA,0.026873027,NA
2019,24663,NA,0.026873027,NA
2019,28300,NA,0.026873027,NA
2019,28301,NA,0.026873027,NA
2019,28901,NA,0.026873027,NA
2019,28907,NA,0.026873027,NA
2019,28909,NA,0.026873027,NA
2019,28910,NA,0.026873027,NA
2019,29297,NA,0.026873027,NA
2019,29298,NA,0.026873027,NA
2019,29299,NA,0.026873027,NA
2019,29300,NA,0.026873027,NA
2020,24565,NA,0.026873027,NA
2020,24596,NA,0.026873027,NA
2020,24662,NA,0.026873027,NA
2020,28300,NA,0.026873027,NA
2020,28301,NA,0.026873027,NA
2020,28907,NA,0.026873027,NA
2020,28909,NA,0.026873027,NA
2020,28910,NA,0.026873027,NA
2020,29292,NA,0.026873027,NA
2020,29297,NA,0.026873027,NA
2020,29298,NA,0.026873027,NA
2020,29299,NA,0.026873027,NA
2020,29300,NA,0.026873027,NA
2020,29809,NA,0.026873027,NA
2021,24565,NA,0.026873027,NA
2021,24662,NA,0.026873027,NA
2021,24667,NA,0.026873027,NA
2021,28244,NA,0.026873027,NA
2021,28300,NA,0.026873027,NA
2021,28907,NA,0.026873027,NA
2021,28910,NA,0.026873027,NA
2021,29297,NA,0.026873027,NA
2021,29298,NA,0.026873027,NA
2021,29300,NA,0.026873027,NA
2021,30375,NA,0.026873027,NA
2021,30377,NA,0.026873027,NA
2022,24565,NA,0.026873027,NA
2022,24662,NA,0.026873027,NA
2022,28244,NA,0.026873027,NA
2022,28301,NA,0.026873027,NA
2022,28907,NA,0.026873027,NA
2022,28910,NA,0.026873027,NA
2022,29298,NA,0.026873027,NA
2022,29300,NA,0.026873027,NA
2022,29309,NA,0.026873027,NA
2022,30375,NA,0.026873027,NA
2022,30377,NA,0.026873027,NA
2022,30378,NA,0.026873027,NA
2001,14982,2001-01-18,0.0265386,NA
2002,9794,2002-01-28,0.0283096,NA
2002,12204,2002-01-15,0.0267956,NA
2002,12207,2002-01-15,0.0266829,NA
2002,12215,2002-01-15,0.0267659,NA
2002,12945,2002-01-15,0.0277552,NA
2002,13287,2002-01-15,0.0263105,NA
2002,13291,2002-01-28,0.0271238,NA
2002,13327,2002-01-28,0.027077,NA
2002,14958,2002-01-15,0.0264468,NA
2003,12204,2003-01-30,0.0267394,NA
2003,12441,2003-01-30,0.0273117,NA
2003,12994,2003-01-30,0.027643,NA
2003,13227,NA,0.0251,"Test Value for Townet Web Page"
2003,13287,2003-01-28,0.0275138,NA
2003,13291,NA,0.0271238,"Used 2002 calibration value."
2003,14958,2003-01-28,0.0260065,NA
