"Common Name","Genus","Species","Family","Fish Code","Symbol","TNS Field","MWT Species Code","MWT Field"
"Smelt (Unid)",,,"Osmeridae",1,"OSM","SMELT",88.00,"SMLTFMLY"
"Herring (Unid)",,,"Clupeidae",4,"CLU","SHADFMLY",,
"Catfish (Unid)",,,"Ictaluridae",7,"ICT","CATFISH",,
"Gobies (Unid)",,,"Gobiidae",11,"GOB","GOBYFAML",,
"Cyprinids (Unid)",,,"Cyprinidae",24,"CYP","MINNOWS",,
"Silversides (Unid)",,,"Atherinopsidae",32,"ATH","SLVESIDF",,
"Centrarchids (Unid)",,,"Centrarchidae",36,"CNT","SUNFISHF",,
"Perches (Unid)",,,"Percidae",43,"PER",,,
"Surfperches (Unid)",,,"Embiotocidae",45,"EMB","SURFPRCH",,
"Sculpins (Unid)",,,"Cottidae",63,"COT","SCULPINF",,
"Lampreys (Unid)",,,"Petromyzontidae",60,"PET","LAMPREYF",,
"Cheekspot Goby","Ilypnus","gilberti","Gobiidae",70,"CSG","CHEKGOBY",75.00,"CHKSGOBY"
"Longjaw Mudsucker","Gillichthys","mirabilis","Gobiidae",69,"LJM","LNGJAWMD",,
"Smallmouth Bass","Micropterus","dolomieu","Centrarchidae",68,"SMB","SMLMBASS",94.00,"SMTHBASS"
"Striped Bass","Morone","saxatilis","Moronidae",0,"SB0","STPBASS0",33.00,"STPBASS0"
"Sturgeon (Unid)",,,"Acipenseridae",21,"ACI","STURGFMY",,
"Bat Ray","Myliobatis","californica","Myliobatididae",,,,1.00,"BATRAY"
"Big Skate","Raja","binoculata","Rajidae",,,,2.00,"BIGSKATE"
"Pacific Pompano","Peprilus","simillimus","Stromateidae",,,,15.00,"PBUTTER"
"Pacific Sanddab","Citharichthys","sordidus","Paralichthyidae",,,,17.00,"PSANDAB"
"Pacific Tomcod","Microgadus","proximus","Gadidae",,,,18.00,"PTOMCOD"
"Leopard Shark","Triakis","semifasciata","Triakidae",,,,58.00,"LEOPSHRK"
"Brown Smoothhound","Mustelus","henlei","Triakidae",,,,59.00,"BRNSMHND"
"California Halibut","Paralichthys","californicus","Paralichthyidae",,,,78.00,"CHALIBUT"
"Speckled Sanddab","Citharichthys","stigmaeus","Paralichthyidae",80,,,80.00,"SPKSANDB"
"Diamond Turbot","Hypsopsetta","guttulata","Pleuronectidae",,,,82.00,"DIATURBT"
"Palaemon","Palaemon","macrodactylus","Caridae",,,,23.00,"PALAEMON"
"Night Smelt","Spirinchus","starski","Osmeridae",,,,26.00,"NGHTSMLT"
"Surf Smelt","Hypomesus","pretiosis","Osmeridae",,,,27.00,"SURFSMLT"
"Whitebait Smelt","Allosmerus","elongatus","Osmeridae",,,,28.00,"WBATSMLT"
"Walleye Surfperch","Hyperprosopon","ellipticum","Embiotocidae",,,,43.00,"WALSPRCH"
"Pile perch","Rhacochilas","vacca","Embiotocidae",,,,47.00,"PILEPRCH"
"Black Surfperch","Embiotoca","jacksoni","Embiotocidae",,,,49.00,"BLKPERCH"
"Spiny Dogfish","Squalus","acantias","Squalidae",,,,57.00,"SPINYDOG"
"Sacramento Blackfish","Orthodon","microlepidotus","Cyprinidae",71,"SBF",,62.00,"SACBLAKF"
"Sand Sole","Psettichthys","melanostictus","Pleuronectidae",,,,81.00,"SANDSOLE"
"English Sole","Pleuronectes","vetulus","Pleuronectidae",,,,83.00,"ENGLSOLE"
"Flatfish (Unid)",,,,,,,84.00,"FLATFISH"
"Rock Sole","Lepidopsetta","bilineata","Pleuronectidae",,,,85.00,"ROCKSOLE"
"Wolf Eel","Anarrhichthys","ocellatus","Anarhichadidae",,,,87.00,"WOLFEEL"
"Pacific Electric Ray","Torpedo","californica","Torpedinidae",,,,91.00,"PACELRAY"
"Dwarf Surfperch","Micrometrus","minimus","Embiotocidae",,,,50.00,"DWFPERCH"
"Grey Smoothhound","Mustelus","californica","Triakidae",,,,67.00,"GRYSMHND"
"Lingcod","Ophiodon","elongatus","Hexagrammidae",,,,86.00,"LINGCOD"
"Rubberlip Seaperch","Rhacochilus","toxotes","Embiotocidae",,,,44.00,"RUBLPRCH"
"Broadnose Sevengill Shark","Notorynchus","cepodianus","Hexanchidae",,,,56.00,"SEVNGSHK"
"Spotfin Surfperch","Hyperprosopon","anale","Embiotocidae",,,,89.00,"SPTFPRCH"
"White Seaperch","Phanerodon","furcatus","Embiotocidae",,,,90.00,"WHTSPRCH"
"Striped Bass Adult2","Morone","saxatilis","Moronidae",,,,35.00,"STPBASS2"
"Calico Surfperch","Amphistichus","koelzi","Embiotocidae",,,,45.00,"CALSPRCH"
"Redtail Surfperch","Amphistichus","rhodoterus","Embiotocidae",,,,46.00,"RTLSPRCH"
"Barred Surfperch","Amphistichus","argenteus","Embiotocidae",,,,48.00,"BRDSPRCH"
"Warmouth","Lepomis","gulosus","Centrarchidae",17,"WAM",,54.00,"WARMOUTH"
"California Skate","Raja","inornata","Rajidae",,,,60.00,"CALSKATE"
"Black Bullhead","Ameiurus","melas","Ictaluridae",18,"BLB",,68.00,"BLKBULHD"
"California Tonguefish","Symphurus","atricauda","Cynoglossidae",,,,77.00,"CATONGUE"
"Pacific Halibut","Hippoglossus","stenolepis","Pleuronectidea",,,,79.00,"PHALIBUT"
"Red Shiner","Notropis","lutrensis","Cyprinidae",72,"RSH",,,
"Fathead Minnow","Pimephales","promelas","Cyprinidae",73,"FHM",,,
"Shokihaze Goby","Tridentiger","barbatus","Gobiidae",74,"SHO",,,
"Tridentiger spp.","Tridentiger",,"gobiidae",75,"TRI",,,
"Blue Catfish","Ictalurus","furcatus","Ictaluridae",7105,,,,
"Unid Flounder",,,,3127,,,,
"Penpoint Gunnel","Apodichthys","flavidus","Pholidae",2826,,,,
"Saddleback Gunnel","Pholis","ornata","Pholidae",2829,,,,
"Monkeyface Prickleback","Cebidichthys","violaceus","Stichaeidae",2775,,,,
"Prickleback spp.",,,"Stichaeidae",2813,,,,
"Brown Rockfish","Sebastes","auriculatus","Sebastidae",96,"BRF",,,
