SampleID,StationCode,SampleDate,SampleTime,MethodCode,GearID,GearConditionCode,WeatherCode,VegetationRank,MicrocystisVisualRank,YSI Handheld #,WaterTemperature,Secchi,Conductivity,SpCnd,DO,pH,Turbidity,Entered By,Checked By,UserName,AgencyCode,s_ColLineage,s_Generation,s_Lineage,DataCorrectionComments
9174,PCS,4/15/2021,11:15:00 AM,FKTR,FKTR,1,CLR,1,,1,19.00,0.32,759,847,7.59,8.08,22.70,HH,"AB, PF",,,,,,11:00 am to 11:15 am
9199,STTD,4/15/2021,9:32:00 AM,RSTR,RSTR8,1,CLR,2,,1,17.10,0.45,356,420,8.29,8.25,15.30,PF,AB,,,,,,changed 2 MSS lengths
9173,PCS,4/14/2021,10:46:00 AM,FKTR,FKTR,1,CLR,1,,1,18.70,0.35,724,823,8.11,8.13,20.10,HH,AB,,,,,,
9198,STTD,4/14/2021,9:23:00 AM,RSTR,RSTR8,1,CLR,2,,1,17.30,0.37,410,481.3,7.92,8.20,17.00,PF,AB,,,,,,
9172,PCS,4/13/2021,10:35:00 AM,FKTR,FKTR,1,CLR,2,,2,18.20,0.33,661,759,8.39,7.98,20.90,HH,AB,,,,,,
9197,STTD,4/13/2021,9:27:00 AM,RSTR,RSTR8,1,CLR,2,,2,17.10,0.41,392.3,461.9,8.24,8.02,16.70,PF,,,,,,,corrected MSS length
9171,PCS,4/12/2021,11:00:00 AM,FKTR,FKTR,1,CLR,2,,2,18.40,0.31,638,730,7.79,7.89,22.20,HH,PF,,,,,,Duplicate within system
9196,STTD,4/12/2021,10:13:00 AM,RSTR,RSTR8,1,CLR,1,,2,17.20,0.24,525,617,7.78,7.96,26.70,PF,AB,,,,,,
9169,PCS,4/2/2021,10:59:00 AM,FKTR,FKTR,1,CLR,1,,2,17.60,0.35,420,489,7.52,7.97,20.30,HH,AB,,,,,,
9195,STTD,4/2/2021,10:00:00 AM,RSTR,RSTR8,2,CLR,2,,2,17.20,0.65,365.8,430.3,8.98,8.00,9.30,PF,AB,,,,,,Added MSS
9170,PCS,4/1/2021,10:15:00 AM,FKTR,FKTR,1,CLR,2,,2,16.80,0.36,545,646,9.32,8.26,21.10,HH,AB,,,,,,
9194,STTD,4/1/2021,9:22:00 AM,RSTR,RSTR8,1,CLR,2,,2,16.00,0.68,389,470,8.86,7.97,10.10,PF,AB,,,,,,added method code
9168,PCS,3/30/2021,11:50:00 AM,FKTR,FKTR,1,CLR,2,,3,15.00,0.27,727,897,11.09,8.49,41.40,HH,AB,,,,,,
9193,STTD,3/30/2021,10:13:00 AM,RSTR,RSTR8,1,CLR,2,,3,15.40,0.31,627,768,7.90,8.03,27.80,PF,AB,,,,,,added method code
9167,PCS,3/29/2021,10:41:00 AM,FKTR,FKTR,1,CLR,1,,3,16.00,0.29,667,806,11.58,8.45,31.70,HH,,,,,,,
9192,STTD,3/29/2021,9:47:00 AM,RSTR,RSTR8,1,CLR,2,,3,15.80,0.28,653,792,7.63,8.01,24.70,PF,AB,,,,,,Added Method Code
9157,PCS,3/26/2021,11:06:00 AM,FKTR,FKTR,1,CLR,1,,3,14.30,0.36,691,868,8.88,8.11,25.60,AB,HH,,,,,,
9190,STTD,3/26/2021,9:53:00 AM,RSTR,RSTR8,1,CLR,2,,3,13.80,0.29,673,857,8.34,8.04,24.20,AB,,,,,,,
9158,PCS,3/25/2021,12:10:00 PM,FKTR,FKTR,1,CLR,2,,2,14.50,0.35,697,872,8.94,8.02,32.40,AB,HH,,,,,,
9189,STTD,3/25/2021,10:33:00 AM,RSTR,RSTR8,1,CLR,2,,2,13.70,0.45,657,850,8.61,8.03,19.40,AB,,,,,,,
9159,PCS,3/24/2021,11:06:00 AM,FKTR,FKTR,,CLR,2,,2,14.00,0.4,731,924,9.19,8.14,18.50,AB,HH,,,,,,
9188,STTD,3/24/2021,9:37:00 AM,RSTR,RSTR8,1,CLR,2,,2,13.50,0.38,680,871,8.78,8.03,17.10,AB,,,,,,,
9166,PCS,3/23/2021,12:30:00 PM,FKTR,FKTR,1,CLR,2,,2,13.80,0.29,721,917,9.40,8.04,27.80,HH,AB,,,,,,
9187,STTD,3/23/2021,10:41:00 AM,RSTR,RSTR8,1,CLR,,,2,13.60,0.45,679,867,8.86,8.04,15.60,AB,,,,,,,
9161,PCS,3/22/2021,11:13:00 AM,FKTR,FKTR,1,CLD,1,,1,13.70,0.34,620,791,9.11,8.10,17.40,AB,HH,,,,,,
9186,STTD,3/22/2021,10:12:00 AM,RSTR,RSTR8,1,CLD,1,,1,14.00,0.58,578,733,10.27,8.49,9.30,AB,,,,,,,
9156,PCS,3/19/2021,11:41:00 AM,FKTR,FKTR,1,CLD,1,,1,13.90,0.37,686,871,8.25,8.03,14.00,AB,HH,,,,,,
9185,STTD,3/19/2021,10:27:00 AM,RSTR,RSTR8,2,CLD,3,,1,12.90,,512,667,10.23,8.28,4.80,AB,,,,,,,
9155,PCS,3/18/2021,12:33:00 PM,FKTR,FKTR,,CLD,,,1,13.00,0.47,677,878,8.98,8.05,13.80,AB,HH,,,,,,
9184,STTD,3/18/2021,11:13:00 AM,RSTR,RSTR8,2,CLD,3,,1,12.50,,571,751,10.37,8.21,6.50,AB,,,,,,,
9154,PCS,3/17/2021,11:04:00 AM,FKTR,FKTR,1,CLD,,,3,12.60,0.4,619,813,8.85,8.17,20.10,AB,HH,,,,,,
9183,STTD,3/17/2021,9:55:00 AM,RSTR,RSTR8,2,CLD,3,,3,12.20,0.98,555,731,10.66,3.29,11.00,AB,,,,,,,
9165,PCS,3/16/2021,10:32:00 AM,FKTR,FKTR,1,CLR,1,,3,12.80,0.32,644,838,8.72,8.00,24.00,HH,AB,,,,,,
9182,STTD,3/16/2021,9:27:00 AM,RSTR,RSTR8,1,CLR,2,,3,11.50,0.87,565,761,10.25,8.21,11.40,AB,,,,,,,
9152,PCS,3/15/2021,10:15:00 AM,FKTR,FKTR,1,CLD,1,,2,12.20,0.37,696,920,8.93,8.02,22.00,AB,HH,,,,,,
9181,STTD,3/15/2021,9:23:00 AM,RSTR,RSTR8,1,CLD,2,,2,12.20,0.68,616,816,10.19,8.21,10.00,AB,,,,,,,
9151,PCS,3/12/2021,11:02:00 AM,FKTR,FKTR,,CLR,,,2,13.50,0.3,615,788,8.66,7.98,18.60,AB,HH,,,,,,
9179,STTD,3/12/2021,10:02:00 AM,RSTR,RSTR8,2,CLR,2,,2,12.30,0.59,677,893,9.85,8.17,11.00,HH,AB,,,,,,
9150,PCS,3/11/2021,10:01:00 AM,FKTR,FKTR,1,CLR,1,,2,12.10,0.3,662,879,8.44,7.98,23.40,AB,HH,,,,,,
9178,STTD,3/11/2021,12:01:00 PM,RSTR,RSTR8,1,CLR,2,,2,12.50,0.43,705,925,10.05,8.20,14.20,HH,AB,,,,,,
9163,PCS,3/10/2021,9:34:00 AM,FKTR,FKTR,1,CLD,1,,2,12.40,0.31,691,909,8.91,7.96,21.50,HH,AB,,,,,,
9177,STTD,3/10/2021,11:09:00 AM,RSTR,RSTR8,1,CLD,2,,2,12.70,0.29,712,932,9.85,8.14,14.70,HH,AB,,,,,,
9148,PCS,3/9/2021,11:50:00 AM,FKTR,FKTR,1,CLD,1,,3,13.60,0.3,695,888,9.47,8.11,26.00,AB,HH,,,,,,
9176,STTD,3/9/2021,10:35:00 AM,RSTR,RSTR8,1,CLD,2,,3,12.80,0.41,704,917,9.93,8.16,18.40,HH,AB,,,,,,
9147,PCS,3/8/2021,12:42:00 PM,FKTR,FKTR,1,CLR,,,3,13.50,0.21,699,895,10.05,8.21,28.20,AB,HH,,,,,,
9175,STTD,3/8/2021,11:21:00 AM,RSTR,RSTR8,1,CLR,1,,3,13.10,0.67,638,825,10.31,8.16,11.90,HH,AB,,,,,,
9145,PCS,3/5/2021,12:22:00 PM,FKTR,FKTR,1,CLR,2,,3,13.50,0.3,711,912,10.23,8.19,25.70,AB,HH,,,,,,
9144,PCS,3/4/2021,9:53:00 AM,FKTR,FKTR,1,CLR,2,,2,11.70,0.28,686,920,9.86,8.08,26.10,AB,HH,,,,,,
9143,PCS,3/3/2021,10:16:00 AM,FKTR,FKTR,1,CLD,1,,2,11.90,0.3,709,945,9.56,8.04,34.60,AB,HH,,,,,,
9142,PCS,3/2/2021,9:34:00 AM,FKTR,FKTR,,CLD,1,,2,11.50,0.33,691,930,9.47,8.11,20.10,AB,HH,,,,,,
9149,PCS,2/10/2021,9:34:00 AM,FKTR,FKTR,1,CLD,1,,2,12.40,0.31,691,909,8.91,7.95,21.50,AB,,,,,,,
9141,PCS,12/4/2020,9:30:00 AM,FKTR,FKTR,1,CLR,1,,1,9.30,0.44,185,264,8.82,7.64,13.00,AC,AB,,,,,,
9140,PCS,12/3/2020,9:23:00 AM,FKTR,FKTR,1,CLR,1,,1,9.40,0.42,184,262,9.35,7.54,19.10,AC,AB,,,,,,
9139,PCS,12/2/2020,9:30:00 AM,`,FKTR,1,CLR,1,,2,9.60,0.48,198,281,9.39,7.65,14.00,AC,AB,,,,,,
9138,PCS,12/1/2020,12:05:00 PM,FKTR,FKTR,1,CLR,1,1,3,10.50,0.71,213,294,9.51,7.84,10.10,HH,AC,,,,,,
9137,PCS,11/30/2020,1:35:00 PM,FKTR,FKTR,1,CLR,1,1,3,11.70,0.37,231.2,310.1,8.91,7.78,16.50,HH,AC,,,,,,
9136,PCS,11/25/2020,9:30:00 AM,FKTR,FKTR,1,CLR,2,1,2,11.00,0.31,236,323,6.37,7.51,23.80,HH,AC,,,,,,
9135,PCS,11/24/2020,9:24:00 AM,FKTR,FKTR,1,CLR,1,1,1,11.10,0.37,233,317,7.25,7.60,21.70,HH,AC,,,,,,
9134,PCS,11/23/2020,9:32:00 AM,FKTR,FKTR,1,CLR,1,1,3,11.10,0.36,227.7,309.8,7.46,7.65,22.50,HH,AC,,,,,,
9133,PCS,11/20/2020,1:13:00 PM,FKTR,FKTR,1,CLR,1,1,3,12.80,0.32,216,282,8.05,7.74,19.30,HH,AC,,,,,,
9132,PCS,11/19/2020,9:14:00 AM,FKTR,FKTR,1,CLR,1,1,3,12.60,0.3,212,278,7.89,7.59,22.63,HH,AC,,,,,,
9131,PCS,11/18/2020,9:16:00 AM,FKTR,FKTR,1,RAN,1,1,1,12.70,0.27,216,282,7.95,7.71,22.63,HH,AC,,,,,,
9130,PCS,11/17/2020,12:48:00 PM,FKTR,FKTR,1,RAN,2,,1,12.50,0.37,219,288,8.14,7.78,19.70,AC,AB,,,,,,
9129,PCS,11/16/2020,2:07:00 PM,FKTR,FKTR,1,CLR,1,,2,14.60,0.36,238,297,8.26,7.66,19.00,AC,AB,,,,,,
9128,PCS,11/13/2020,9:42:00 AM,FKTR,FKTR,1,CLD,1,,3,11.70,0.34,235,315,7.56,7.70,24.50,AC,AB,,,,,,
9127,PCS,11/12/2020,10:05:00 AM,FKTR,FKTR,1,CLR,1,,2,11.80,0.24,226,303,7.57,7.64,22.40,AC,AB,,,,,,
9126,PCS,11/10/2020,9:25:00 AM,FKTR,FKTR,1,CLR,1,,2,11.90,0.21,207,276,7.73,7.66,39.00,AC,AB,,,,,,
9125,PCS,11/9/2020,9:43:00 AM,FKTR,FKTR,1,CLR,1,,3,12.40,0.2,208,275,8.01,7.71,33.40,AC,AB,,,,,,changed PH
9124,PCS,11/6/2020,9:14:00 AM,FKTR,FKTR,1,CLD,1,,2,15.20,0.32,239,294,7.03,7.52,24.80,AC,AB,,,,,,
9123,PCS,11/5/2020,9:18:00 AM,FKTR,FKTR,1,CLR,1,,3,15.40,0.3,251,307,6.71,7.52,26.80,AC,AB,,,,,,
9122,PCS,11/4/2020,9:30:00 AM,FKTR,FKTR,1,CLR,1,,1,15.00,0.32,248,306,10.74,7.72,24.50,AC,AB,,,,,,
9121,PCS,11/3/2020,9:33:00 AM,FKTR,FKTR,1,CLR,1,,2,15.30,0.26,235,288,6.95,7.52,28.40,AC,AB,,,,,,Changes RES to Mort
9120,PCS,11/2/2020,9:52:00 AM,FKTR,FKTR,1,CLR,1,,2,15.50,0.24,218,267,7.15,7.78,27.40,AC,AB,,,,,,
9119,PCS,10/30/2020,9:25:00 AM,FKTR,FKTR,1,CLR,1,,3,14.90,0.29,216,268,7.36,7.57,25.20,AC,AB,,,,,,
9118,PCS,10/29/2020,8:54:00 AM,FKTR,FKTR,1,CLR,1,,3,14.60,0.31,204,255,7.49,7.69,27.30,AC,AB,,,,,,
9117,PCS,10/28/2020,8:40:00 AM,FKTR,FKTR,1,CLR,1,,3,14.40,0.28,199,249,7.63,7.64,35.60,AC,AB,,,,,,
9116,PCS,10/27/2020,8:16:00 AM,FKTR,FKTR,1,CLR,1,,3,13.50,0.26,211,271,8.61,7.77,32.90,AC,AB,,,,,,
9115,PCS,10/26/2020,8:59:00 AM,FKTR,FKTR,1,CLR,1,,3,13.60,0.24,183,234,9.14,7.76,43.40,AC,AB,,,,,,
9114,PCS,10/23/2020,8:18:00 AM,FKTR,FKTR,1,CLR,1,,3,18.30,0.28,218,250,7.26,7.74,26.70,AC,HH,,,,,,
9113,PCS,10/22/2020,8:29:00 AM,FKTR,FKTR,1,CLR,1,,1,18.90,0.23,199,225,7.36,7.78,26.40,AC,HH,,,,,,
9112,PCS,10/21/2020,8:35:00 AM,FKTR,FKTR,1,CLR,1,,1,19.90,0.22,203,224,7.22,7.86,26.70,AC,,,,,,,
9111,PCS,10/20/2020,8:40:00 AM,FKTR,FKTR,1,CLR,1,,2,19.80,0.25,207,230,7.29,7.74,27.90,AC,HH,,,,,,
9110,PCS,10/19/2020,8:49:00 AM,FKTR,FKTR,1,CLR,1,,3,19.70,0.24,205,228,7.31,7.88,31.80,AC,HH,,,,,,
9109,PCS,10/16/2020,8:33:00 AM,FKTR,FKTR,1,CLR,1,,1,18.90,0.34,234,265,5.75,7.59,20.90,AC,HH,,,,,,
9108,PCS,10/15/2020,8:32:00 AM,FKTR,FKTR,1,CLR,1,,1,18.90,0.3,221,250,6.95,7.89,22.30,AC,HH,,,,,,
9107,PCS,10/14/2020,8:22:00 AM,FKTR,FKTR,1,CLR,1,,3,19.40,0.33,227,255,7.23,7.89,25.70,AC,HH,,,,,,
9106,PCS,10/13/2020,8:28:00 AM,FKTR,FKTR,1,CLR,1,,2,19.20,0.28,221,249,7.60,7.85,22.60,AC,HH,,,,,,
9105,PCS,10/12/2020,8:35:00 AM,FKTR,FKTR,1,CLR,1,,2,18.70,0.27,230,261,7.38,7.82,26.80,AC,HH,,,,,,
9104,PCS,10/9/2020,8:36:00 AM,FKTR,FKTR,1,CLR,1,,3,19.50,0.28,217,242,7.40,8.02,27.70,AC,HH,,,,,,
9103,PCS,10/8/2020,8:45:00 AM,FKTR,FKTR,1,CLD,1,,3,20.30,0.27,225,247,7.46,8.01,32.10,AC,HH,,,,,,
9102,PCS,10/7/2020,9:00:00 AM,FKTR,FKTR,1,CLR,1,,3,21.40,0.23,246,264,6.85,7.98,38.00,AC,HH,,,,,,
9101,PCS,10/6/2020,9:04:00 AM,FKTR,FKTR,1,CLR,1,,2,21.80,0.23,254,271,7.04,7.95,33.50,AC,HH,,,,,,
9100,PCS,10/5/2020,9:13:00 AM,FKTR,FKTR,1,CLR,1,,2,21.90,0.25,248,264,7.04,7.92,32.40,AC,HH,,,,,,
9092,PCS,3/17/2020,10:44:00 AM,FKTR,FKTR,1,CLD,1,,2,12.60,0.35,725,951,8.83,7.98,18.40,AC,HH,,,,,,
9093,STTD,3/17/2020,9:48:00 AM,RSTR,RSTR8,1,CLD,2,1,2,13.10,0.66,673,872,8.32,8.05,11.30,AC,HH,,,,,,
9094,AL1,3/16/2020,12:24:00 PM,BSEIN,SEIN50,1,RAN,2,,2,13.50,0.27,833,1068,9.25,8.16,25.60,AC,AB,,,,,,
9097,AL3,3/16/2020,12:02:00 PM,BSEIN,SEIN50,1,RAN,2,,2,13.40,0.36,837,1075,,8.13,22.30,AC,AB,,,,,,
9099,BL2,3/16/2020,9:10:00 AM,BSEIN,SEIN50,1,RAN,1,,2,13.00,0.33,710,922,8.74,8.01,24.30,AC,HH,,,,,,
9095,BL4,3/16/2020,11:35:00 AM,BSEIN,SEIN50,1,RAN,1,,2,13.20,0.39,749,968,9.22,8.23,17.10,AC,AB,,,,,,
9096,PCS,3/16/2020,10:37:00 AM,FKTR,FKTR,1,CLD,1,,2,12.90,0.42,716,932,9.06,8.22,19.10,AC,AB,,,,,,
9098,STTD,3/16/2020,9:51:00 AM,RSTR,RSTR8,1,CLD,1,,2,13.70,0.7,684,871,8.62,8.21,11.60,AC,HH,,,,,,
9077,PCS,3/13/2020,11:30:00 AM,FKTR,FKTR,1,CLR,1,1,1,15.90,0.3,739,894,9.60,7.93,21.40,AC,HH,,,,,,
9078,STTD,3/13/2020,10:29:00 AM,RSTR,RSTR8,1,CLR,2,1,1,15.60,0.78,414,504,9.61,8.05,9.60,AC,HH,,,,,,
9079,PCS,3/12/2020,11:40:00 AM,FKTR,FKTR,1,CLR,1,,2,16.30,0.37,721,864,9.86,8.14,21.80,AC,HH,,,,,,
9080,STTD,3/12/2020,10:30:00 AM,RSTR,RSTR8,1,CLR,2,,2,15.40,0.52,515,630,9.77,8.31,10.60,AC,HH,,,,,,
9081,PCS,3/11/2020,10:54:00 AM,FKTR,FKTR,1,CLR,1,,2,15.30,0.32,683,839,9.47,8.08,21.90,AC,HH,,,,,,
9082,STTD,3/11/2020,10:03:00 AM,RSTR,RSTR8,1,CLR,2,,2,14.60,0.44,620,773,9.63,8.24,14.90,AC,HH,,,,,,
9090,PCS,3/10/2020,11:52:00 AM,FKTR,FKTR,1,CLR,1,,1,14.90,0.33,698,865,10.02,8.08,21.90,AC,HH,,,,,,
9091,STTD,3/10/2020,10:58:00 AM,RSTR,RSTR8,1,CLR,2,,1,13.80,0.35,693,881,9.09,7.62,18.40,AC,HH,,,,,,
9083,PCS,3/9/2020,10:10:00 AM,FKTR,FKTR,1,CLR,1,,2,13.80,0.42,707,899,9.56,8.11,18.70,AC,,,,,,,
9084,STTD,3/9/2020,9:32:00 AM,RSTR,RSTR8,1,CLR,1,,2,13.60,0.42,690,882,9.32,8.14,18.30,AC,HH,,,,,,
9086,BL2,3/6/2020,10:34:00 AM,BSEIN,SEIN50,1,CLD,2,,3,14.40,0.37,718,900,9.84,8.08,25.10,AC,,,,,,,
9087,BL3,3/6/2020,10:09:00 AM,BSEIN,SEIN50,1,CLD,1,,3,14.30,0.37,725,910,10.39,8.15,22.00,AC,HH,,,,,,
9088,BL4,3/6/2020,9:50:00 AM,BSEIN,SEIN50,1,CLD,1,,3,14.30,0.42,720,904,10.72,8.19,16.20,AC,HH,,,,,,
9089,PCS,3/6/2020,12:32:00 PM,FKTR,FKTR,1,CLD,1,,3,15.10,0.36,742,915,10.31,8.24,22.50,AC,HH,,,,,,
9085,STTD,3/6/2020,11:32:00 AM,RSTR,RSTR8,1,CLD,2,,3,14.40,0.41,720,903,10.60,8.21,17.20,AC,HH,,,,,,
9051,BL5,3/5/2020,10:48:00 AM,BSEIN,SEIN50,4,CLR,4,,1,14.30,,252,316,11.08,8.23,4.20,AC,HH,,,,,,
9050,PCS,3/5/2020,11:36:00 AM,FKTR,FKTR,1,CLR,1,,1,14.90,0.44,727,900,10.52,8.10,15.60,AC,HH,,,,,,
9052,STTD,3/5/2020,10:05:00 AM,RSTR,RSTR8,1,CLR,1,,1,14.20,0.35,722,909,10.60,7.94,17.00,AC,HH,,,,,,
9053,PCS,3/4/2020,12:22:00 PM,FKTR,FKTR,1,CLR,1,,2,16.20,0.36,734,882,10.13,8.19,15.00,AC,HH,,,,,,
9054,STTD,3/4/2020,10:25:00 AM,RSTR,RSTR8,1,CLR,2,,2,14.00,0.48,681,861,10.32,8.28,13.30,AC,HH,,,,,,
9076,AL1,3/3/2020,9:19:00 AM,BSEIN,SEIN50,1,CLR,1,,2,13.50,0.34,800,1025,9.88,8.03,20.70,AC,HH,,,,,,
9075,AL3,3/3/2020,10:15:00 AM,BSEIN,SEIN50,1,CLR,1,,2,14.10,0.33,819,1035,9.93,8.15,18.70,AC,HH,,,,,,
9074,AL4,3/3/2020,10:55:00 AM,BSEIN,SEIN50,1,CLR,1,,2,15.10,0.32,719,887,10.03,8.20,12.20,AC,HH,,,,,,
9072,BL1,3/3/2020,1:03:00 PM,BSEIN,SEIN50,1,CLR,1,,2,15.10,0.33,748,925,10.56,8.22,15.10,AC,HH,,,,,,
9071,PCS,3/3/2020,1:30:00 PM,FKTR,FKTR,1,CLR,1,,2,15.10,0.33,748,925,10.56,8.22,15.10,AC,HH,,,,,,
9073,STTD,3/3/2020,12:05:00 PM,RSTR,RSTR8,1,CLR,1,,2,13.40,0.77,556,714,10.36,8.42,8.30,AC,HH,,,,,,
9069,PCS,3/2/2020,10:22:00 AM,FKTR,FKTR,1,CLR,1,,3,12.70,0.34,683,893,9.93,8.08,22.20,AC,HH,,,,,,
9070,STTD,3/2/2020,9:40:00 AM,RSTR,RSTR8,1,CLR,1,,3,12.90,0.5,666,866,9.54,8.07,14.80,AC,HH,,,,,,
9067,PCS,2/28/2020,11:00:00 AM,FKTR,FKTR,1,CLD,1,,1,14.50,0.33,718,897,9.86,8.01,24.60,AC,HH,,,,,,
9068,STTD,2/28/2020,10:03:00 AM,RSTR,RSTR8,1,CLD,1,,1,14.80,0.34,647,802,8.56,7.76,13.00,AC,HH,,,,,,
9066,PCS,2/27/2020,11:40:00 AM,FKTR,FKTR,1,CLR,2,,3,14.80,0.3,707,878,9.83,8.05,21.80,AC,HH,,,,,,
9065,STTD,2/27/2020,10:23:00 AM,RSTR,RSTR8,1,CLR,1,,3,14.20,0.41,649,819,8.66,7.95,18.00,AC,HH,,,,,,
9064,PCS,2/26/2020,11:00:00 AM,FKTR,FKTR,1,CLR,1,,2,14.30,0.34,696,875,10.09,8.07,19.90,AC,HH,,,,,,
9063,STTD,2/26/2020,10:13:00 AM,RSTR,RSTR8,1,CLR,2,,2,13.60,0.42,648,829,9.11,8.01,15.30,AC,HH,,,,,,
9061,PCS,2/25/2020,11:22:00 AM,FKTR,FKTR,1,CLR,1,,1,13.60,0.4,679,867,10.21,8.09,18.50,AC,HH,,,,,,
9062,STTD,2/25/2020,10:20:00 AM,RSTR,RSTR8,1,CLR,2,,1,13.20,0.29,644,831,9.31,7.81,17.10,AC,HH,,,,,,
9059,PCS,2/24/2020,11:20:00 AM,FKTR,FKTR,1,CLR,1,,2,13.70,0.3,658,840,9.72,8.00,26.40,AC,AB,,,,,,
9060,STTD,2/24/2020,9:47:00 AM,RSTR,RSTR8,1,CLR,1,,2,13.20,0.42,638,824,9.41,7.96,17.10,AC,AB,,,,,,
9057,BL5,2/21/2020,1:47:00 PM,BSEIN,SEIN50,3,CLR,3,,1,14.10,,296,373,13.14,8.65,7.00,AC,HH,,,,,,
9058,PCS,2/21/2020,3:07:00 PM,FKTR,FKTR,1,CLD,1,,1,14.00,0.28,623,787,9.99,8.08,28.90,AC,HH,,,,,,
9056,STTD,2/21/2020,12:23:00 PM,RSTR,RSTR8,1,CLR,2,,1,12.90,0.32,625,813,9.24,8.00,16.00,AC,,,,,,,
9055,PCS,2/20/2020,11:51:00 AM,FKTR,FKTR,1,CLR,1,,1,13.10,0.31,607,787,9.62,8.02,25.60,AC,HH,,,,,,
9049,STTD,2/20/2020,10:21:00 AM,RSTR,RSTR8,1,CLR,2,,1,12.20,0.42,616,816,9.25,7.75,14.50,AC,HH,,,,,,
9044,AL1,2/19/2020,2:55:00 PM,BSEIN,SEIN50,1,CLR,2,,2,13.80,0.28,698,889,9.61,8.00,25.50,AC,AB,,,,,,Changed a SHR measuremnt from 44 to 42
9045,AL3,2/19/2020,2:30:00 PM,BSEIN,SEIN50,1,CLR,2,,2,14.50,0.25,717,897,10.12,8.03,30.00,AC,AB,,,,,,
9046,AL4,2/19/2020,1:52:00 PM,BSEIN,SEIN50,1,CLR,2,,2,13.60,0.26,639,816,9.78,8.04,33.70,AC,AB,,,,,,
9048,BL1,2/19/2020,12:50:00 PM,BSEIN,SEIN50,1,CLR,2,,2,13.30,0.31,625,804,9.93,8.01,27.70,AC,HH,,,,,,
9041,BL2,2/19/2020,10:41:00 AM,BSEIN,SEIN50,1,CLR,2,,2,12.50,0.25,608,798,9.24,8.06,34.70,AC,AB,,,,,,
9042,BL3,2/19/2020,10:19:00 AM,BSEIN,SEIN50,1,CLR,1,,2,12.10,0.37,618,820,9.57,8.02,19.60,AC,HH,,,,,,
