"SurveyID","SampleDate","Survey","Comments"
190,1998-07-15,8,NA
191,1998-07-17,8,NA
192,1998-07-18,8,NA
193,1998-07-27,9,NA
194,1998-07-28,9,NA
195,1998-07-29,9,NA
196,1998-07-30,9,NA
197,1998-07-31,9,NA
198,1998-08-01,9,NA
199,1999-04-12,1,NA
200,1999-04-13,1,NA
201,1999-04-14,1,NA
202,1999-04-15,1,NA
203,1999-04-16,1,NA
204,1999-04-17,1,NA
205,1999-04-26,2,NA
206,1999-04-27,2,NA
207,1999-04-28,2,NA
208,1999-04-29,2,NA
209,1999-04-30,2,NA
210,1999-05-01,2,NA
211,1999-05-10,3,NA
212,1999-05-11,3,NA
213,1999-05-12,3,NA
214,1999-05-13,3,NA
215,1999-05-14,3,NA
216,1999-05-15,3,NA
217,1999-05-23,4,NA
218,1999-05-24,4,NA
219,1999-05-25,4,NA
220,1999-05-28,4,NA
221,1999-06-02,10,NA
222,1999-06-07,5,NA
223,1999-06-08,5,NA
224,1999-06-09,5,NA
225,1999-06-10,5,NA
226,1999-06-11,5,NA
227,1999-06-12,5,NA
228,1999-06-14,11,NA
229,1999-06-21,6,NA
230,1999-06-22,6,NA
231,1999-06-23,6,NA
232,1999-06-24,6,NA
233,1999-06-25,6,NA
234,1999-06-26,6,NA
235,1999-06-28,12,NA
236,1999-07-06,7,NA
237,1999-07-07,7,NA
238,1999-07-08,7,NA
239,1999-07-09,7,NA
240,1999-07-10,7,NA
241,1999-07-19,8,NA
242,1999-07-20,8,NA
243,1999-07-21,8,NA
244,1999-07-22,8,NA
245,1999-07-23,8,NA
246,1999-07-24,8,NA
247,2000-03-20,1,NA
248,2000-03-21,1,NA
249,2000-03-22,1,NA
250,2000-03-23,1,NA
251,2000-03-24,1,NA
252,2000-03-25,1,NA
253,2000-04-03,2,NA
254,2000-04-04,2,NA
255,2000-04-05,2,NA
256,2000-04-06,2,NA
257,2000-04-07,2,NA
258,2000-04-08,2,NA
259,2000-04-17,3,NA
260,2000-04-18,3,NA
261,2000-04-19,3,NA
262,2000-04-20,3,NA
263,2000-04-21,3,NA
264,2000-04-22,3,NA
265,2000-05-01,4,NA
266,2000-05-02,4,NA
267,2000-05-03,4,NA
268,2000-05-04,4,NA
269,2000-05-05,4,NA
270,2000-05-07,10,NA
271,2000-05-08,10,NA
272,2000-05-09,10,NA
273,2000-05-15,5,NA
274,2000-05-16,5,NA
275,2000-05-17,5,NA
276,2000-05-18,5,NA
277,2000-05-19,5,NA
278,2000-05-22,11,NA
279,2000-05-23,11,NA
280,2000-05-24,11,NA
281,2000-05-29,6,NA
282,2000-05-30,6,NA
283,2000-05-31,6,NA
284,2000-06-01,6,NA
285,2000-06-02,6,NA
286,2000-06-02,12,NA
287,2000-06-05,12,NA
288,2000-06-06,12,NA
289,2000-06-07,12,NA
290,2000-06-12,7,NA
291,2000-06-13,7,NA
292,2000-06-14,7,NA
293,2000-06-15,7,NA
294,2000-06-16,7,NA
295,2000-06-17,7,NA
296,2000-06-26,8,NA
297,2000-06-27,8,NA
298,2000-06-28,8,NA
299,2000-06-29,8,NA
300,2000-06-30,8,NA
301,2000-07-10,9,NA
302,2000-07-11,9,NA
303,2000-07-13,9,NA
304,2000-07-14,9,NA
305,2000-07-15,9,NA
306,2001-03-19,1,NA
307,2001-03-20,1,NA
308,2001-03-21,1,NA
309,2001-03-22,1,NA
310,2001-03-23,1,NA
311,2001-03-24,1,NA
312,2001-04-02,2,NA
313,2001-04-03,2,NA
314,2001-04-04,2,NA
315,2001-04-05,2,NA
316,2001-04-06,2,NA
317,2001-04-07,2,NA
318,2001-04-16,3,NA
319,2001-04-17,3,NA
320,2001-04-18,3,NA
321,2001-04-19,3,NA
322,2001-04-20,3,NA
323,2001-04-21,3,NA
324,2001-04-30,4,NA
325,2001-05-01,4,NA
326,2001-05-03,4,NA
327,2001-05-04,4,NA
328,2001-05-05,4,NA
329,2001-05-07,4,NA
330,2001-05-14,5,NA
331,2001-05-15,5,NA
332,2001-05-16,5,NA
333,2001-05-17,5,NA
334,2001-05-18,5,NA
335,2001-05-19,5,NA
336,2001-05-29,6,NA
337,2001-05-30,6,NA
338,2001-05-31,6,NA
339,2001-06-01,6,NA
340,2001-06-02,6,NA
341,2001-06-04,6,NA
342,2001-06-11,7,NA
343,2001-06-12,7,NA
344,2001-06-13,7,NA
345,2001-06-14,7,NA
346,2001-06-15,7,NA
347,2001-06-16,7,NA
348,2001-06-25,8,NA
349,2001-06-26,8,NA
350,2001-06-27,8,NA
351,2001-06-28,8,NA
352,2001-06-29,8,NA
353,2001-06-30,8,NA
354,2001-07-09,9,NA
355,2002-03-18,1,NA
356,2002-03-19,1,NA
357,2002-03-20,1,NA
358,2002-03-21,1,NA
359,2002-03-22,1,NA
360,2002-03-23,1,NA
361,2002-04-02,2,NA
362,2002-04-03,2,NA
363,2002-04-04,2,NA
364,2002-04-05,2,NA
365,2002-04-06,2,NA
366,2002-04-07,2,NA
367,2002-04-15,3,NA
368,2002-04-16,3,NA
369,2002-04-17,3,NA
370,2002-04-18,3,NA
371,2002-04-19,3,NA
372,2002-04-20,3,NA
373,2002-04-29,4,NA
374,2002-04-30,4,NA
375,2002-05-01,4,NA
376,2002-05-02,4,NA
377,2002-05-03,4,NA
378,2002-05-04,4,NA
379,2002-05-13,5,NA
380,2002-05-14,5,NA
381,2002-05-15,5,NA
382,2002-05-16,5,NA
383,2002-05-17,5,NA
384,2002-05-18,5,NA
385,2002-05-28,6,NA
386,2002-05-29,6,NA
387,2002-05-30,6,NA
388,2002-05-31,6,NA
389,2002-06-01,6,NA
390,2002-06-02,6,NA
391,2002-06-10,7,NA
392,2002-06-11,7,NA
393,2002-06-12,7,NA
394,2002-06-14,7,NA
395,2002-06-15,7,NA
396,2002-06-24,8,NA
397,2002-06-25,8,NA
398,2002-06-26,8,NA
399,2002-06-27,8,NA
400,2002-06-28,8,NA
401,2002-06-29,8,NA
402,2003-03-24,1,NA
403,2003-03-25,1,NA
404,2003-03-26,1,NA
405,2003-03-27,1,NA
406,2003-03-28,1,NA
407,2003-03-29,1,NA
408,2003-04-07,2,NA
409,2003-04-08,2,NA
410,2003-04-09,2,NA
411,2003-04-10,2,NA
412,2003-04-11,2,NA
413,2003-04-12,2,NA
414,2003-04-21,3,NA
415,2003-04-22,3,NA
416,2003-04-23,3,NA
417,2003-04-24,3,NA
418,2003-04-25,3,NA
419,2003-04-26,3,NA
420,2003-05-05,4,NA
421,2003-05-06,4,NA
422,2003-05-07,4,NA
423,2003-05-08,4,NA
424,2003-05-09,4,NA
425,2003-05-10,4,NA
426,2003-05-19,5,NA
427,2003-05-20,5,NA
428,2003-05-21,5,NA
429,2003-05-22,5,NA
430,2003-05-23,5,NA
431,2003-05-24,5,NA
432,2003-06-02,6,NA
433,2003-06-03,6,NA
434,2003-06-04,6,NA
435,2003-06-05,6,NA
436,2003-06-06,6,NA
437,2003-06-07,6,NA
438,2003-06-16,7,NA
439,2003-06-17,7,NA
440,2003-06-18,7,NA
441,2003-06-19,7,NA
442,2003-06-20,7,NA
443,2003-06-21,7,NA
444,2003-06-30,8,NA
445,2003-07-01,8,NA
446,2003-07-02,8,NA
447,2003-07-03,8,NA
448,2004-03-29,1,NA
449,2004-03-30,1,NA
450,2004-04-01,1,NA
451,2004-04-03,1,NA
452,2004-04-12,2,NA
453,2004-04-13,2,NA
454,2004-04-14,2,NA
455,2004-04-15,2,NA
456,2004-04-16,2,NA
457,2004-04-26,3,NA
458,2004-04-27,3,NA
459,2004-04-28,3,NA
460,2004-04-29,3,NA
461,2004-04-30,3,NA
462,2004-05-10,4,NA
463,2004-05-11,4,NA
464,2004-05-12,4,NA
465,2004-05-14,4,NA
466,2004-05-15,4,NA
467,2004-05-24,5,NA
468,2004-05-25,5,NA
469,2004-05-26,5,NA
470,2004-05-27,5,NA
471,2004-05-28,5,NA
472,2004-06-07,6,NA
473,2004-06-08,6,NA
474,2004-06-09,6,NA
475,2004-06-10,6,NA
476,2004-06-11,6,NA
477,2004-06-12,6,NA
478,2004-06-21,7,NA
479,2004-06-22,7,NA
480,2004-06-23,7,NA
481,2004-06-24,7,NA
482,2004-06-25,7,NA
483,2004-07-06,8,NA
484,2004-07-07,8,NA
485,2004-07-08,8,NA
486,2004-07-09,8,NA
487,2004-07-10,8,NA
488,2005-03-14,1,NA
489,2005-03-15,1,NA
490,2005-03-16,1,NA
491,2005-03-17,1,NA
492,2005-03-18,1,NA
493,2005-03-19,1,NA
494,2005-03-28,2,NA
495,2005-03-29,2,NA
496,2005-03-30,2,NA
497,2005-04-01,2,NA
498,2005-04-02,2,NA
499,2005-04-11,3,NA
500,2005-04-12,3,NA
501,2005-04-13,3,NA
502,2005-04-14,3,NA
503,2005-04-15,3,NA
504,2005-04-16,3,NA
505,2005-04-25,4,NA
506,2005-04-26,4,NA
507,2005-04-27,4,NA
508,2005-04-28,4,NA
509,2005-04-29,4,NA
510,2005-05-09,5,NA
511,2005-05-10,5,NA
512,2005-05-11,5,NA
513,2005-05-12,5,NA
514,2005-05-13,5,NA
515,2005-05-23,6,NA
516,2005-05-24,6,NA
517,2005-05-25,6,NA
518,2005-05-26,6,NA
519,2005-05-27,6,NA
520,2005-06-06,7,NA
521,2005-06-07,7,NA
522,2005-06-08,7,NA
523,2005-06-09,7,NA
524,2005-06-10,7,NA
525,2005-06-11,7,NA
526,2005-06-20,8,NA
527,2005-06-21,8,NA
528,2005-06-22,8,NA
529,2005-06-23,8,NA
530,2005-06-24,8,NA
531,2005-07-05,9,NA
532,2005-07-06,9,NA
533,2005-07-07,9,NA
534,2005-07-08,9,NA
535,2005-07-09,9,NA
536,2006-03-20,1,NA
537,2006-03-21,1,NA
538,2006-03-22,1,NA
539,2006-03-23,1,NA
540,2006-03-24,1,NA
541,2006-03-25,1,NA
542,2006-04-03,2,NA
543,2006-04-04,2,NA
544,2006-04-05,2,NA
545,2006-04-06,2,NA
546,2006-04-07,2,NA
547,2006-04-08,2,NA
548,2006-04-17,3,NA
549,2006-04-18,3,NA
550,2006-04-19,3,NA
551,2006-04-20,3,NA
552,2006-04-21,3,NA
553,2006-04-22,3,NA
554,2006-05-01,4,NA
555,2006-05-02,4,NA
556,2006-05-03,4,NA
557,2006-05-04,4,NA
558,2006-05-05,4,NA
559,2006-05-06,4,NA
560,2006-05-15,5,NA
561,2006-05-16,5,NA
562,2006-05-17,5,NA
563,2006-05-18,5,NA
564,2006-05-19,5,NA
565,2006-05-20,5,NA
566,2006-05-30,6,NA
567,2006-05-31,6,NA
568,2006-06-01,6,NA
569,2006-06-02,6,NA
570,2006-06-03,6,NA
571,2006-06-12,7,NA
572,2006-06-13,7,NA
573,2006-06-14,7,NA
574,2006-06-15,7,NA
575,2006-06-16,7,NA
576,2006-06-17,7,NA
577,2006-06-26,8,NA
578,2006-06-27,8,NA
579,2006-06-28,8,NA
580,2006-06-29,8,NA
581,2006-06-30,8,NA
582,2006-07-01,8,NA
583,2006-07-10,9,NA
584,2006-07-11,9,NA
585,2006-07-12,9,NA
586,2006-07-13,9,NA
587,2006-07-14,9,NA
588,2006-07-15,9,NA
589,2007-03-13,1,NA
590,2007-03-14,1,NA
591,2007-03-16,1,NA
592,2007-03-17,1,NA
593,2007-03-26,2,NA
594,2007-03-27,2,NA
595,2007-03-28,2,NA
596,2007-03-29,2,NA
597,2007-03-30,2,NA
598,2007-04-09,3,NA
599,2007-04-10,3,NA
600,2007-04-11,3,NA
601,2007-04-12,3,NA
602,2007-04-13,3,NA
603,2007-04-23,4,NA
604,2007-04-24,4,NA
605,2007-04-25,4,NA
606,2007-04-26,4,NA
607,2007-04-27,4,NA
608,2007-05-07,5,NA
609,2007-05-09,5,NA
610,2007-05-10,5,NA
611,2007-05-11,5,NA
612,2007-05-12,5,NA
613,2007-05-21,6,NA
614,2007-05-22,6,NA
615,2007-05-23,6,NA
616,2007-05-24,6,NA
617,2007-05-25,6,NA
618,2007-05-26,6,NA
619,2007-06-04,7,NA
620,2007-06-05,7,NA
621,2007-06-06,7,NA
622,2007-06-07,7,NA
623,2007-06-08,7,NA
624,2007-06-09,7,NA
625,2007-06-18,8,NA
626,2007-06-19,8,NA
627,2007-06-20,8,NA
628,2007-06-21,8,NA
629,2007-06-22,8,NA
630,2007-06-23,8,NA
631,2007-07-02,9,NA
632,2007-07-03,9,NA
633,2007-07-05,9,NA
634,2007-07-06,9,NA
635,2007-07-07,9,NA
636,2008-03-03,11,NA
637,2008-03-05,11,NA
638,2008-03-06,11,NA
639,2008-03-07,11,NA
640,2008-03-17,1,NA
641,2008-03-18,1,NA
642,2008-03-19,1,NA
643,2008-03-20,1,NA
644,2008-03-21,1,NA
645,2008-04-01,2,NA
646,2008-04-02,2,NA
647,2008-04-03,2,NA
648,2008-04-04,2,NA
649,2008-04-14,3,NA
650,2008-04-15,3,NA
651,2008-04-16,3,NA
652,2008-04-17,3,NA
653,2008-04-18,3,NA
654,2008-04-28,4,NA
655,2008-04-29,4,NA
656,2008-04-30,4,NA
657,2008-05-01,4,NA
658,2008-05-02,4,NA
659,2008-05-12,5,NA
660,2008-05-13,5,NA
661,2008-05-15,5,NA
662,2008-05-16,5,NA
663,2008-05-27,6,NA
664,2008-05-28,6,NA
665,2008-05-29,6,NA
666,2008-05-30,6,NA
667,2008-06-09,7,NA
668,2008-06-10,7,NA
669,2008-06-11,7,NA
670,2008-06-12,7,NA
671,2008-06-13,7,NA
672,2008-06-23,8,NA
673,2008-06-24,8,NA
674,2008-06-25,8,NA
675,2008-06-26,8,NA
676,2008-06-27,8,NA
677,2008-07-07,9,NA
678,2008-07-08,9,NA
679,2008-07-09,9,NA
680,2008-07-10,9,NA
681,2008-07-11,9,NA
682,2009-03-09,1,NA
683,2009-03-10,1,NA
684,2009-03-11,1,NA
685,2009-03-12,1,NA
686,2009-03-13,1,NA
687,2009-03-23,2,NA
688,2009-03-24,2,NA
689,2009-03-25,2,NA
690,2009-03-26,2,NA
691,2009-03-27,2,NA
692,2009-04-06,3,NA
693,2009-04-07,3,NA
694,2009-04-08,3,NA
695,2009-04-09,3,NA
696,2009-04-20,4,NA
697,2009-04-21,4,NA
698,2009-04-22,4,NA
699,2009-04-23,4,NA
700,2009-04-24,4,NA
701,2009-05-04,5,NA
702,2009-05-05,5,NA
703,2009-05-06,5,NA
704,2009-05-07,5,NA
705,2009-05-08,5,NA
706,2009-05-18,6,NA
707,2009-05-19,6,NA
708,2009-05-20,6,NA
709,2009-05-21,6,NA
710,2009-05-22,6,NA
711,2009-06-01,7,NA
712,2009-06-02,7,NA
713,2009-06-03,7,NA
714,2009-06-04,7,NA
715,2009-06-15,8,NA
716,2009-06-16,8,NA
717,2009-06-17,8,NA
718,2009-06-29,9,NA
719,2009-06-30,9,NA
720,2009-07-01,9,NA
721,2009-07-02,9,NA
722,2010-03-15,1,NA
723,2010-03-16,1,NA
724,2010-03-17,1,NA
725,2010-03-18,1,NA
726,2010-03-29,2,NA
727,2010-03-30,2,NA
728,2010-04-01,2,NA
729,2010-04-12,3,NA
730,2010-04-13,3,NA
731,2010-04-14,3,NA
732,2010-04-15,3,NA
733,2010-04-26,4,NA
734,2010-04-27,4,NA
735,2010-04-28,4,NA
736,2010-04-29,4,NA
737,2010-05-10,5,NA
738,2010-05-11,5,NA
739,2010-05-12,5,NA
740,2010-05-13,5,NA
741,2010-05-24,6,NA
742,2010-05-25,6,NA
743,2010-05-26,6,NA
744,2010-05-27,6,NA
745,2010-06-07,7,NA
746,2010-06-08,7,NA
747,2010-06-09,7,NA
748,2010-06-10,7,NA
749,2010-06-21,8,NA
750,2010-06-22,8,NA
751,2010-06-23,8,NA
752,2010-06-24,8,NA
753,2010-06-25,8,NA
754,2010-07-06,9,NA
755,2010-07-07,9,NA
756,2010-07-08,9,NA
757,2011-03-14,1,NA
758,2011-03-15,1,NA
759,2011-03-16,1,NA
760,2011-03-17,1,NA
761,2011-03-28,2,NA
762,2011-03-29,2,NA
763,2011-03-30,2,NA
764,2011-04-01,2,NA
765,2011-04-11,3,NA
766,2011-04-12,3,NA
767,2011-04-13,3,NA
768,2011-04-14,3,NA
769,2011-04-25,4,NA
770,2011-04-26,4,NA
771,2011-04-27,4,NA
772,2011-04-28,4,NA
773,2011-05-09,5,NA
774,2011-05-10,5,NA
775,2011-05-11,5,NA
776,2011-05-12,5,NA
777,2011-05-23,6,NA
778,2011-05-24,6,NA
779,2011-05-25,6,NA
780,2011-05-26,6,NA
781,2011-06-06,7,NA
782,2011-06-07,7,NA
783,2011-06-08,7,NA
784,2011-06-09,7,NA
785,2011-06-20,8,NA
786,2011-06-21,8,NA
787,2011-06-22,8,NA
788,2011-06-23,8,NA
789,2011-07-05,9,NA
790,2011-07-06,9,NA
791,2011-07-07,9,NA
792,2011-07-08,9,NA
793,2012-03-12,1,NA
794,2012-03-13,1,NA
795,2012-03-14,1,NA
796,2012-03-15,1,NA
797,2012-03-26,2,NA
798,2012-03-27,2,NA
799,2012-03-28,2,NA
800,2012-03-29,2,NA
801,2012-04-09,3,NA
802,2012-04-10,3,NA
803,2012-04-11,3,NA
804,2012-04-12,3,NA
805,2012-04-23,4,NA
806,2012-04-24,4,NA
807,2012-04-25,4,NA
808,2012-04-26,4,NA
809,2012-05-07,5,NA
810,2012-05-08,5,NA
811,2012-05-09,5,NA
812,2012-05-10,5,NA
813,2012-05-21,6,NA
814,2012-05-22,6,NA
815,2012-05-23,6,NA
816,2012-05-24,6,NA
817,2012-06-04,7,NA
818,2012-06-05,7,NA
819,2012-06-06,7,NA
820,2012-06-07,7,NA
821,2012-06-18,8,NA
822,2012-06-19,8,NA
823,2012-06-20,8,NA
824,2012-06-21,8,NA
825,2012-07-09,9,NA
826,2012-07-10,9,NA
827,2012-07-11,9,NA
828,2012-07-12,9,NA
829,2013-03-11,1,NA
830,2013-03-12,1,NA
831,2013-03-13,1,NA
832,2013-03-14,1,NA
833,2013-03-25,2,NA
834,2013-03-26,2,NA
835,2013-03-27,2,NA
836,2013-03-28,2,NA
837,2013-04-08,3,NA
838,2013-04-09,3,NA
839,2013-04-10,3,NA
840,2013-04-11,3,NA
841,2013-04-22,4,NA
842,2013-04-23,4,NA
843,2013-04-24,4,NA
844,2013-04-25,4,NA
845,2013-05-06,5,NA
846,2013-05-07,5,NA
847,2013-05-08,5,NA
848,2013-05-09,5,NA
849,2013-05-20,6,NA
850,2013-05-21,6,NA
851,2013-05-22,6,NA
852,2013-05-23,6,NA
853,2013-06-03,7,NA
854,2013-06-04,7,NA
855,2013-06-05,7,NA
856,2013-06-06,7,NA
857,2013-06-17,8,NA
858,2013-06-18,8,NA
859,2013-06-19,8,NA
860,2013-06-20,8,NA
861,2013-07-01,9,NA
862,2013-07-02,9,NA
863,2013-07-03,9,NA
864,2014-03-17,1,NA
865,2014-03-18,1,NA
866,2014-03-19,1,NA
867,2014-03-20,1,NA
868,2014-03-21,1,NA
869,2014-04-01,2,NA
870,2014-04-02,2,NA
871,2014-04-03,2,NA
872,2014-04-04,2,NA
873,2014-04-14,3,NA
874,2014-04-15,3,NA
875,2014-04-16,3,NA
876,2014-04-17,3,NA
877,2014-04-28,4,NA
878,2014-04-29,4,NA
879,2014-04-30,4,NA
880,2014-05-01,4,NA
881,2014-05-12,5,NA
882,2014-05-13,5,NA
883,2014-05-14,5,NA
884,2014-05-15,5,NA
885,2014-05-27,6,NA
886,2014-05-29,6,NA
887,2014-06-02,6,NA
888,2014-06-09,7,NA
889,2014-06-10,7,NA
890,2014-06-11,7,NA
891,2014-06-12,7,NA
892,2014-06-23,8,NA
893,2014-06-24,8,NA
894,2014-06-25,8,NA
895,2014-06-26,8,NA
896,2014-07-07,9,NA
897,2014-07-08,9,NA
898,2014-07-09,9,NA
899,2014-07-10,9,NA
900,2015-03-16,1,NA
901,2015-03-17,1,NA
902,2015-03-18,1,NA
903,2015-03-19,1,NA
904,2015-03-20,1,NA
905,2015-03-30,2,NA
906,2015-04-01,2,NA
907,2015-04-02,2,NA
908,2015-04-03,2,NA
909,2015-04-06,2,NA
910,2015-04-07,2,NA
911,2015-04-08,2,NA
912,2015-04-13,3,NA
913,2015-04-14,3,NA
914,2015-04-15,3,NA
915,2015-04-16,3,NA
916,2015-04-27,4,NA
917,2015-04-28,4,NA
918,2015-04-29,4,NA
919,2015-04-30,4,NA
920,2015-05-11,5,NA
921,2015-05-12,5,NA
922,2015-05-13,5,NA
923,2015-05-14,5,NA
924,2015-05-26,6,NA
925,2015-05-27,6,NA
926,2015-05-28,6,NA
927,2015-05-29,6,NA
928,2015-06-08,7,NA
929,2015-06-09,7,NA
930,2015-06-10,7,NA
931,2015-06-11,7,NA
932,2015-06-22,8,NA
933,2015-06-23,8,NA
934,2015-06-24,8,NA
935,2015-06-25,8,NA
936,2015-07-06,9,NA
937,2015-07-07,9,NA
938,2015-07-08,9,NA
939,2016-03-14,1,NA
940,2016-03-15,1,NA
941,2016-03-16,1,NA
942,2016-03-17,1,NA
943,2016-03-28,2,NA
944,2016-03-29,2,NA
945,2016-03-30,2,NA
946,2016-03-31,2,NA
947,2016-04-11,3,NA
948,2016-04-12,3,NA
949,2016-04-13,3,NA
950,2016-04-14,3,NA
951,2016-04-25,4,NA
952,2016-04-26,4,NA
953,2016-04-27,4,NA
954,2016-04-28,4,NA
955,2016-05-10,5,NA
956,2016-05-11,5,NA
957,2016-05-12,5,NA
958,2016-05-13,5,NA
959,2016-05-23,6,NA
960,2016-05-24,6,NA
961,2016-05-25,6,NA
962,2016-05-26,6,NA
963,2016-06-06,7,NA
964,2016-06-07,7,NA
965,2016-06-08,7,NA
966,2016-06-09,7,NA
967,2016-06-20,8,NA
968,2016-06-21,8,NA
969,2016-06-22,8,NA
970,2016-06-23,8,NA
971,2016-07-05,9,NA
972,2016-07-06,9,NA
973,2016-07-07,9,NA
974,2017-03-13,1,NA
975,2017-03-14,1,NA
976,2017-03-15,1,NA
977,2017-03-27,2,NA
978,2017-03-16,1,NA
979,2017-03-28,2,NA
980,2017-03-29,2,NA
981,2017-03-30,2,NA
982,2017-04-10,3,NA
983,2017-04-11,3,NA
984,2017-04-12,3,NA
985,2017-04-13,3,NA
986,2017-04-24,4,NA
987,2017-04-25,4,NA
988,2017-04-26,4,NA
989,2017-04-27,4,NA
990,2017-05-08,5,NA
991,2017-05-09,5,NA
992,2017-05-10,5,NA
993,2017-05-11,5,NA
994,2017-05-22,6,NA
995,2017-05-23,6,NA
996,2017-05-24,6,NA
997,2017-06-05,7,NA
