"FishSampleID","GearID","SampleCode","FishCode","Catch"
188,5845,1,8,3
189,13942,1,28,1
190,13942,1,49,1
191,22436,1,38,4
192,22436,1,44,1
193,7016,1,8,3
194,7016,1,66,1
195,15087,1,28,1
196,15087,1,66,1
197,22999,1,26,1
198,22999,1,28,1
199,7210,1,28,1
200,15278,1,28,1
201,23188,1,28,3
202,23188,1,49,1
203,7403,1,8,3
204,15468,1,8,3
205,23376,1,8,35
206,12161,1,28,1
207,4425,1,49,1
208,12539,1,28,1
209,20501,1,44,1
210,4616,1,64,1
211,4806,1,8,3
212,4806,1,28,2
213,4806,1,49,1
214,12912,1,8,4
215,12912,1,26,2
216,12912,1,49,7
217,20867,1,8,1
218,20867,1,28,2
219,20867,1,49,4
220,14322,1,49,1
221,6823,1,8,2
222,6823,1,66,1
223,14897,1,8,2
224,14897,1,9,2
225,14897,1,28,3
226,22812,1,28,1
227,2138,1,10,2
228,18281,1,3,1
229,18468,1,8,1
230,2709,1,49,1
231,19761,1,26,2
232,19940,1,8,1
233,4233,1,28,1
234,12349,1,49,1
235,20314,1,28,1
236,20314,1,49,1
237,21688,1,3,1
238,1209,1,2,2
239,1209,1,10,19
240,9361,1,2,1
241,9361,1,10,21
242,9361,1,13,1
243,9361,1,49,1
244,9361,1,66,1
245,17379,1,2,1
246,17379,1,10,22
247,17379,1,15,1
248,1577,1,10,20
249,1577,1,19,1
250,9725,1,10,19
251,9725,1,19,1
252,17739,1,10,9
253,2901,1,10,5
254,11031,1,10,11
255,19021,1,10,3
256,19021,1,49,1
257,3095,1,3,2
258,3095,1,10,25
259,3095,1,20,12
260,3095,1,49,2
261,11222,1,10,28
262,11222,1,20,11
263,11222,1,49,2
264,11222,1,66,1
265,19207,1,3,1
266,19207,1,8,1
267,19207,1,10,46
268,19207,1,20,5
269,19207,1,49,4
270,3285,1,0,1
271,3285,1,10,4
272,3285,1,49,2
273,3285,1,65,1
274,11411,1,10,9
275,11411,1,20,2
276,11411,1,49,1
277,19394,1,3,1
278,19394,1,10,12
279,19394,1,20,1
280,19394,1,49,2
281,3473,1,10,1
282,3473,1,36,1
283,11598,1,10,1
284,11598,1,20,1
285,11598,1,28,4
286,11598,1,49,1
287,11598,1,64,2
288,19577,1,10,1
289,19577,1,28,1
290,19577,1,49,1
291,5636,1,46,3
292,5636,1,49,1
293,2,1,2,6
294,2,1,3,1
295,2,1,10,114
296,2,1,20,2
297,2,1,49,1
298,2,1,52,1
299,2,1,70,1
300,8177,1,2,5
301,8177,1,10,78
302,8177,1,20,1
303,8177,1,49,1
304,16226,1,0,1
305,16226,1,2,10
306,16226,1,10,132
307,16226,1,48,2
308,227,1,0,1
309,227,1,2,534
310,227,1,3,4
311,227,1,10,221
312,227,1,19,1
313,227,1,49,12
314,227,1,52,2
315,8400,1,0,4
316,8400,1,2,550
317,8400,1,3,3
318,8400,1,10,246
319,8400,1,13,1
320,8400,1,14,3
321,8400,1,19,1
322,8400,1,20,3
323,8400,1,49,7
324,8400,1,52,4
325,8400,1,69,2
326,16438,1,0,1
327,16438,1,2,93
328,16438,1,3,3
329,16438,1,10,69
330,16438,1,20,2
331,16438,1,49,9
332,16438,1,52,1
333,16438,1,66,1
334,16438,1,70,2
335,1391,1,10,5
336,1391,1,99,1
337,9541,1,3,2
338,9541,1,10,4
339,17557,1,3,4
340,17557,1,10,25
341,1765,1,10,7
342,1765,1,99,1
343,9911,1,10,4
344,9911,1,19,1
345,17920,1,10,16
346,1948,1,3,4
347,1948,1,10,16
348,1948,1,28,2
349,10092,1,10,11
350,10092,1,28,1
351,10092,1,49,1
352,18099,1,10,10
353,18099,1,99,2
354,2521,1,3,1
355,2521,1,10,7
356,10656,1,10,6
357,18654,1,10,1
358,13943,1,10,1
359,14706,1,36,1
360,7017,1,9,1
361,7017,1,36,1
362,7211,1,39,1
363,7595,1,36,1
364,7791,1,8,1
365,15851,1,28,1
366,20686,1,6,1
367,4807,1,10,16
368,4807,1,49,1
369,12913,1,10,8
370,12913,1,15,1
371,20868,1,10,3
372,6044,1,49,12
373,14139,1,36,1
374,14139,1,49,15
375,22071,1,1,1
376,22071,1,64,1
377,14323,1,49,1
378,6824,1,36,1
379,10842,1,0,1
380,18838,1,49,1
381,3663,1,6,1
382,3851,1,6,1
383,11970,1,26,1
384,19941,1,10,1
385,19941,1,28,2
386,19941,1,64,1
387,4234,1,28,1
388,4234,1,64,1
389,12350,1,3,1
390,12350,1,64,1
391,20315,1,49,1
392,4426,1,0,35
393,4426,1,28,1
394,4426,1,49,3
395,4426,1,64,2
396,12540,1,0,22
397,12540,1,6,2
398,12540,1,28,3
399,12540,1,49,1
400,20502,1,0,52
401,20502,1,6,2
402,20502,1,10,1
403,20502,1,49,1
404,20502,1,64,2
405,5445,1,3,1
406,5637,1,36,1
407,5650,1,3,1
408,5650,1,49,2
409,13750,1,3,2
410,13750,1,6,1
411,13750,1,10,1
412,13750,1,19,1
413,21689,1,0,1
414,21689,1,3,2
415,1210,1,2,4
416,1210,1,10,170
417,1210,1,20,2
418,9362,1,2,8
419,9362,1,10,237
420,9362,1,15,1
421,17380,1,0,1
422,17380,1,2,62
423,17380,1,10,130
424,17380,1,52,1
425,17380,1,70,1
426,1578,1,0,9
427,1578,1,2,8
428,1578,1,3,1
429,1578,1,10,565
430,1578,1,13,1
431,9726,1,0,4
432,9726,1,2,4
433,9726,1,10,416
434,17740,1,0,1
435,17740,1,2,5
436,17740,1,10,475
437,2331,1,0,2
438,2331,1,28,1
439,10468,1,0,2
440,18469,1,0,1
441,18469,1,10,1
442,2902,1,0,12
443,2902,1,2,1
444,2902,1,3,1
445,2902,1,10,115
446,11032,1,0,14
447,11032,1,2,1
448,11032,1,3,5
449,11032,1,10,160
450,19022,1,0,19
451,19022,1,3,2
452,19022,1,10,510
453,19022,1,28,1
454,3096,1,0,14
455,3096,1,3,3
456,3096,1,10,73
457,3096,1,20,11
458,3096,1,49,2
459,11223,1,0,20
460,11223,1,3,2
461,11223,1,10,152
462,11223,1,19,1
463,11223,1,20,17
464,11223,1,49,7
465,19208,1,0,49
466,19208,1,10,141
467,19208,1,20,18
468,19208,1,49,3
469,19208,1,66,1
470,3286,1,0,6
471,3286,1,3,10
472,3286,1,10,27
473,3286,1,20,2
474,11412,1,0,4
475,11412,1,10,27
476,11412,1,20,2
477,11412,1,28,1
478,19395,1,0,9
479,19395,1,3,1
480,19395,1,10,10
481,19395,1,49,1
482,3474,1,0,8
483,3474,1,5,1
484,3474,1,10,1
485,3474,1,15,1
486,3474,1,20,1
487,3474,1,64,1
488,11599,1,0,6
489,11599,1,10,8
490,11599,1,28,1
491,11599,1,49,1
492,19578,1,0,6
493,19578,1,10,6
494,19578,1,28,2
495,3,1,2,79
496,3,1,10,113
497,3,1,14,1
498,3,1,69,1
499,3,1,70,8
500,8178,1,2,56
501,8178,1,10,126
502,8178,1,14,1
503,8178,1,20,1
504,8178,1,69,2
505,8178,1,70,2
506,16227,1,0,1
507,16227,1,2,32
508,16227,1,10,124
509,16227,1,14,2
510,16227,1,52,1
511,16227,1,69,1
512,192,1,0,57
513,192,1,2,207
514,192,1,3,1
515,192,1,10,509
516,192,1,14,23
517,192,1,20,2
518,192,1,36,1
519,192,1,52,19
520,192,1,69,3
521,192,1,70,90
522,228,1,0,17
523,228,1,2,109
524,228,1,3,11
525,228,1,10,180
526,228,1,20,1
527,228,1,49,4
528,228,1,69,1
529,228,1,70,2
530,8401,1,0,7
531,8401,1,2,51
532,8401,1,3,7
533,8401,1,10,144
534,8401,1,14,1
535,8401,1,20,1
536,8401,1,49,3
537,8401,1,52,1
538,16439,1,0,11
539,16439,1,2,42
540,16439,1,3,5
541,16439,1,10,97
542,16439,1,20,3
543,16439,1,49,7
544,16439,1,52,1
545,16439,1,69,5
546,16439,1,70,3
547,1392,1,0,74
548,1392,1,3,18
549,1392,1,10,39
550,1392,1,49,1
551,9542,1,0,142
552,9542,1,3,12
553,9542,1,5,2
554,9542,1,10,77
555,9542,1,19,1
556,9542,1,49,1
557,17558,1,0,301
558,17558,1,3,7
559,17558,1,10,91
560,17558,1,19,1
561,17558,1,49,1
562,17558,1,70,1
563,1949,1,0,44
564,1949,1,3,2
565,1949,1,10,18
566,1949,1,28,3
567,5847,1,0,11
568,13944,1,0,15
569,21881,1,0,8
570,21881,1,99,1
571,6433,1,0,6
572,6433,1,36,1
573,14517,1,0,3
574,14517,1,49,1
575,22438,1,0,3
576,6629,1,0,5
577,14707,1,0,1
578,22625,1,0,8
579,7405,1,0,1
580,7405,1,6,9
581,15470,1,6,8
582,23378,1,6,2
583,23562,1,44,1
584,7792,1,8,1
585,7792,1,28,1
586,15852,1,28,1
587,7983,1,41,1
588,16037,1,49,2
589,4046,1,10,1
590,4427,1,6,1
591,4618,1,0,1
592,4618,1,6,7
593,4618,1,28,1
594,4618,1,49,1
595,4618,1,64,1
596,12729,1,6,4
597,20687,1,64,1
598,4808,1,6,2
599,4808,1,28,4
600,4808,1,49,9
601,12914,1,0,5
602,12914,1,6,5
603,12914,1,49,2
604,12914,1,66,1
605,20869,1,0,2
606,20869,1,6,2
607,20869,1,28,4
608,20869,1,44,1
609,20869,1,49,52
610,6238,1,49,1
611,6238,1,99,1
612,6825,1,8,6
613,6825,1,28,7
614,14899,1,8,2
615,14899,1,26,1
616,14899,1,28,1
617,14899,1,39,1
618,22814,1,28,1
619,7018,1,8,1
620,7018,1,28,6
621,7018,1,36,1
622,7018,1,41,1
623,15089,1,9,1
624,15089,1,28,2
625,23001,1,8,4
626,23001,1,26,1
627,23001,1,28,6
628,7212,1,26,1
629,7212,1,28,159
630,15280,1,8,1
631,15280,1,26,1
632,15280,1,28,36
633,23189,1,26,1
634,23189,1,28,14
635,2139,1,0,3
636,2139,1,28,1
637,10279,1,0,7
638,10279,1,10,5
639,18282,1,0,1
640,18282,1,3,1
641,18282,1,6,2
642,2332,1,0,5
643,2332,1,3,1
644,2332,1,10,1
645,10469,1,0,1
646,18470,1,0,3
647,18470,1,3,1
648,2711,1,3,1
649,10843,1,0,3
650,10843,1,10,1
651,18839,1,0,2
652,18839,1,6,2
653,3664,1,0,9
654,3664,1,6,2
655,11787,1,0,8
656,11787,1,6,1
657,11787,1,36,1
658,19763,1,0,7
659,19763,1,3,1
660,19763,1,6,3
661,3852,1,10,1
662,11971,1,10,1
663,11971,1,28,2
664,19942,1,10,3
665,19942,1,28,3
666,20316,1,6,1
667,5446,1,0,3
668,5446,1,3,2
669,5446,1,10,1
670,13549,1,0,1
671,21492,1,0,1
672,5651,1,0,5
673,5651,1,3,1
674,5651,1,5,1
675,5651,1,36,1
676,13751,1,0,2
677,13751,1,5,1
678,13751,1,10,3
679,21690,1,0,6
680,21690,1,5,1
681,21690,1,10,1
682,1211,1,2,43
683,1211,1,10,56
684,1211,1,14,1
685,1211,1,20,1
686,1211,1,70,2
687,9363,1,0,1
688,9363,1,2,40
689,9363,1,10,62
690,9363,1,70,2
691,17381,1,0,1
692,17381,1,2,34
693,17381,1,10,59
694,1579,1,0,1
695,1579,1,2,34
696,1579,1,10,140
697,9727,1,0,2
698,9727,1,2,11
699,9727,1,10,127
700,2903,1,0,20
701,2903,1,3,1
702,11033,1,0,12
703,11033,1,10,2
704,11033,1,28,1
705,19023,1,0,32
706,19023,1,3,5
707,19023,1,10,25
708,3097,1,0,95
709,3097,1,3,7
710,3097,1,10,31
711,3097,1,20,3
712,3097,1,49,1
713,11224,1,0,43
714,11224,1,3,3
715,11224,1,10,35
716,11224,1,20,1
717,11224,1,28,1
718,11224,1,48,1
719,11224,1,66,1
720,19209,1,0,146
721,19209,1,3,7
722,19209,1,5,2
723,19209,1,10,41
724,19209,1,20,1
725,19209,1,28,2
726,19209,1,49,2
727,3287,1,0,83
728,3287,1,5,1
729,3287,1,10,78
730,3287,1,20,1
731,3287,1,28,2
732,3287,1,49,2
733,11413,1,0,52
734,11413,1,3,1
735,11413,1,10,23
736,11413,1,20,1
737,11413,1,28,1
738,11413,1,49,1
739,19396,1,0,92
740,19396,1,3,13
741,19396,1,5,16
742,19396,1,10,8
743,19396,1,20,1
744,19396,1,28,31
745,19396,1,49,2
746,3475,1,0,34
747,3475,1,10,29
748,11600,1,0,14
749,11600,1,10,47
750,19579,1,0,30
751,19579,1,10,16
752,19579,1,66,1
753,5638,1,0,3
754,5638,1,6,1
755,5638,1,36,1
756,13739,1,0,9
757,13739,1,6,4
758,21679,1,0,2
759,21679,1,6,4
760,21679,1,36,1
761,4,1,2,24
762,4,1,10,42
763,4,1,14,3
764,4,1,70,5
765,8179,1,0,1
766,8179,1,2,30
767,8179,1,10,84
768,8179,1,14,10
769,8179,1,70,8
770,16228,1,0,2
771,16228,1,2,26
772,16228,1,10,89
773,16228,1,14,18
774,16228,1,69,2
775,16228,1,70,3
776,229,1,0,3
777,229,1,3,1
778,229,1,10,4
779,229,1,28,5
780,229,1,69,1
781,229,1,70,6
782,8402,1,0,2
783,8402,1,2,6
784,8402,1,3,4
785,8402,1,10,13
786,8402,1,14,6
787,8402,1,20,1
788,8402,1,69,2
789,8402,1,70,18
790,16440,1,0,4
791,16440,1,2,4
792,16440,1,3,1
793,16440,1,10,23
794,16440,1,14,9
795,16440,1,20,1
796,16440,1,28,3
797,16440,1,69,1
798,16440,1,70,16
799,5848,1,0,28
800,5848,1,6,1
801,5848,1,10,2
802,13945,1,0,17
803,13945,1,10,1
804,21882,1,0,11
805,21882,1,6,1
806,21882,1,10,5
807,6630,1,0,12
808,6630,1,6,1
809,14708,1,0,67
810,14708,1,5,2
811,14708,1,8,3
812,22626,1,0,18
813,22626,1,5,1
814,22626,1,6,2
815,22626,1,10,1
816,22626,1,39,1
817,7213,1,0,2
818,7213,1,8,3
819,7213,1,9,1
820,7213,1,28,1
821,15281,1,28,3
822,23190,1,9,1
823,23190,1,28,2
824,7406,1,0,5
825,7406,1,8,1
826,7406,1,44,1
827,15471,1,0,3
828,23379,1,0,6
829,7597,1,0,18
830,7597,1,5,3
831,7597,1,6,1
832,7597,1,8,1
833,7597,1,66,2
834,15659,1,0,21
835,15659,1,5,1
836,15659,1,6,1
837,15659,1,38,1
838,15659,1,53,1
839,15659,1,66,1
840,23563,1,0,26
841,23563,1,5,2
842,23563,1,6,1
843,7793,1,0,11
844,15853,1,0,24
845,15853,1,5,1
846,23753,1,0,29
847,5639,1,0,1
848,13740,1,0,1
849,21680,1,0,2
850,5652,1,0,7
851,13752,1,0,26
852,13752,1,10,1
853,21691,1,0,42
854,21691,1,8,1
855,21691,1,10,3
856,6046,1,0,15
857,6046,1,66,1
858,14141,1,0,15
859,14141,1,6,1
860,22073,1,0,9
861,22073,1,5,1
862,22073,1,6,1
863,6239,1,0,4
864,14325,1,0,7
865,22250,1,0,16
866,22250,1,6,1
867,6826,1,0,1
868,6826,1,8,7
869,14900,1,0,1
870,14900,1,8,19
871,22815,1,0,1
872,22815,1,5,1
873,22815,1,6,1
874,22815,1,8,8
875,22815,1,9,1
876,7019,1,9,3
877,7019,1,26,1
878,7019,1,28,5
879,15090,1,8,8
880,15090,1,9,7
881,15090,1,28,1
882,23002,1,8,11
883,23002,1,9,12
884,2333,1,0,3
885,10470,1,0,9
886,18471,1,0,2
887,18471,1,3,2
888,3665,1,0,1
889,3665,1,10,1
890,11788,1,0,3
891,19764,1,10,1
892,3853,1,0,10
893,3853,1,10,2
894,11972,1,0,8
895,11972,1,6,1
896,19943,1,0,5
897,4047,1,0,2
898,4047,1,22,1
899,4047,1,66,1
900,12164,1,0,1
901,20131,1,0,3
902,20131,1,6,1
903,4236,1,0,2
904,4236,1,49,1
905,12352,1,0,2
906,12352,1,6,1
907,20317,1,0,3
908,20317,1,6,2
909,4428,1,0,1
910,4428,1,6,2
911,4428,1,64,1
912,20503,1,9,1
913,20503,1,10,1
914,4619,1,6,2
915,4619,1,8,1
916,12730,1,6,2
917,20688,1,6,4
918,20688,1,8,2
919,4809,1,0,2
920,4809,1,6,1
921,4809,1,9,1
922,4809,1,28,1
923,12915,1,0,3
924,12915,1,49,1
925,20870,1,0,2
926,20870,1,6,1
927,20870,1,26,1
928,20870,1,38,1
929,20870,1,49,1
930,1212,1,2,373
931,1212,1,10,24
932,9364,1,2,12
933,9364,1,10,9
934,17382,1,2,15
935,17382,1,10,1
936,1580,1,0,22
937,1580,1,2,22
938,1580,1,10,7
939,9728,1,0,1
940,9728,1,2,8
941,9728,1,10,7
942,17741,1,0,2
943,17741,1,6,16
944,17741,1,10,9
945,17741,1,70,1
946,2904,1,0,47
947,2904,1,3,2
948,2904,1,5,1
949,2904,1,10,7
950,2904,1,20,1
951,11034,1,0,49
952,11034,1,3,2
953,11034,1,6,1
954,11034,1,10,7
955,11034,1,20,1
956,19024,1,0,188
957,19024,1,3,7
958,19024,1,5,1
959,19024,1,10,31
960,3098,1,0,889
961,3098,1,6,3
962,3098,1,10,17
963,3098,1,20,3
964,11225,1,0,702
965,11225,1,5,4
966,11225,1,6,1
967,11225,1,10,25
968,11225,1,20,3
969,19210,1,0,557
970,19210,1,5,4
971,19210,1,6,2
972,19210,1,10,14
973,19210,1,20,4
974,19210,1,28,2
975,19210,1,66,1
976,3288,1,0,1067
977,3288,1,5,1
978,3288,1,10,13
979,3288,1,20,1
980,3288,1,28,1
981,3288,1,99,1
982,11414,1,0,1207
983,11414,1,3,5
984,11414,1,5,6
985,11414,1,10,28
986,11414,1,20,3
987,11414,1,66,4
988,19397,1,0,1360
989,19397,1,3,6
990,19397,1,5,4
991,19397,1,10,15
992,19397,1,66,2
993,3476,1,0,208
994,3476,1,3,1
995,3476,1,5,1
996,3476,1,6,2
997,3476,1,10,2
998,11601,1,0,235
999,11601,1,5,1
1000,11601,1,6,3
1001,11601,1,10,1
1002,11601,1,28,1
1003,19580,1,0,139
1004,19580,1,3,1
1005,19580,1,5,1
1006,19580,1,6,2
1007,5447,1,0,8
1008,5447,1,10,2
1009,13550,1,0,25
1010,13550,1,3,1
1011,13550,1,10,4
1012,13550,1,49,3
1013,21493,1,0,44
1014,21493,1,3,1
1015,21493,1,10,1
1016,5,1,10,2
1017,5,1,15,1
1018,8180,1,2,15
1019,8180,1,10,16
1020,8180,1,13,2
1021,8180,1,14,2
1022,8180,1,20,1
1023,8180,1,66,1
1024,8180,1,69,1
1025,8180,1,70,2
1026,16229,1,2,11
1027,16229,1,10,8
1028,16229,1,20,1
1029,16229,1,70,1
1030,230,1,0,3
1031,230,1,13,5
1032,230,1,66,12
1033,230,1,69,6
1034,230,1,70,1
1035,8403,1,0,1
1036,8403,1,2,1
1037,8403,1,3,1
1038,8403,1,20,1
1039,8403,1,66,7
1040,8403,1,69,4
1041,16441,1,0,2
1042,16441,1,3,1
1043,16441,1,6,1
1044,16441,1,10,5
1045,16441,1,20,1
1046,16441,1,52,2
1047,16441,1,66,1
1048,16441,1,69,5
1049,16441,1,70,5
1050,1393,1,0,1
1051,1393,1,2,15
1052,1393,1,10,5
1053,1393,1,11,1
1054,1393,1,14,2
1055,1393,1,15,1
1056,1393,1,69,1
1057,9543,1,2,18
1058,9543,1,10,7
1059,9543,1,15,1
1060,9543,1,28,1
1061,9543,1,69,1
1062,17559,1,2,40
1063,17559,1,10,9
1064,17559,1,70,1
1065,1766,1,0,28
1066,1766,1,10,4
1067,9912,1,0,26
1068,9912,1,10,5
1069,17921,1,0,50
1070,17921,1,3,3
1071,17921,1,10,15
1072,1950,1,0,8
1073,1950,1,2,1
1074,1950,1,3,2
1075,1950,1,10,1
1076,1950,1,66,2
1077,10093,1,0,4
1078,18100,1,0,2
1079,18100,1,10,2
1080,2140,1,0,7
1081,10280,1,0,5
1082,18283,1,0,5
1083,2522,1,0,13
1084,10657,1,0,2
1085,10657,1,49,1
1086,18655,1,0,6
1087,18655,1,5,1
1088,18655,1,49,1
1089,2712,1,0,19
1090,2712,1,3,1
1091,2712,1,5,1
1092,2712,1,6,3
1093,2712,1,10,2
1094,10844,1,0,70
1095,10844,1,3,7
1096,10844,1,10,3
1097,18840,1,0,64
1098,18840,1,3,3
1099,18840,1,6,1
1100,18840,1,10,1
1101,5849,1,0,19
1102,5849,1,3,2
1103,5849,1,10,3
1104,5849,1,36,1
1105,13946,1,0,23
1106,13946,1,3,4
1107,13946,1,10,2
1108,21883,1,0,18
1109,21883,1,66,1
1110,6631,1,0,9
1111,14709,1,0,6
1112,22627,1,0,12
1113,22627,1,6,2
1114,7020,1,5,6
1115,7020,1,6,2
1116,7020,1,8,1
1117,7020,1,66,1
1118,15091,1,0,2
1119,15091,1,6,15
1120,23003,1,0,9
1121,23003,1,5,4
1122,23003,1,6,12
1123,23003,1,36,1
1124,7214,1,0,2
1125,7214,1,6,3
1126,7214,1,8,5
1127,15282,1,0,1
1128,15282,1,6,10
1129,15282,1,8,2
1130,15282,1,9,2
1131,15282,1,66,1
1132,23191,1,0,3
1133,23191,1,6,6
1134,23191,1,8,23
1135,23191,1,9,1
1136,23191,1,39,1
1137,7407,1,0,4
1138,7407,1,6,5
1139,15472,1,0,3
1140,15472,1,5,1
1141,15472,1,6,12
1142,7598,1,0,19
1143,7598,1,6,2
1144,15660,1,0,9
1145,23564,1,0,20
1146,23564,1,6,2
1147,23564,1,49,1
1148,7794,1,0,32
1149,7794,1,5,1
1150,7794,1,6,4
1151,7794,1,8,8
1152,15854,1,0,51
1153,15854,1,6,5
1154,15854,1,10,1
1155,15854,1,49,1
1156,23754,1,0,33
1157,23754,1,6,2
1158,23754,1,36,2
1159,3666,1,0,6
1160,11789,1,0,5
1161,11789,1,3,1
1162,11789,1,6,1
1163,19765,1,0,3
1164,19765,1,3,2
1165,19765,1,5,1
1166,4048,1,6,1
1167,12165,1,0,1
1168,12165,1,6,5
1169,20132,1,0,1
1170,4810,1,0,2
1171,4810,1,3,1
1172,4810,1,5,3
1173,4810,1,26,1
1174,4810,1,49,1
1175,12916,1,0,3
1176,12916,1,5,1
1177,12916,1,6,1
1178,20871,1,0,3
1179,20871,1,3,4
1180,20871,1,5,2
1181,20871,1,10,2
1182,20871,1,26,1
1183,20871,1,64,1
1184,5640,1,0,1
1185,5640,1,6,1
1186,5640,1,36,1
1187,21681,1,66,1
1188,14518,1,0,4
1189,1767,1,0,27
1190,1767,1,2,11
1191,1767,1,3,12
1192,1767,1,10,1
1193,1767,1,28,1
1194,9913,1,0,22
1195,9913,1,2,12
1196,9913,1,3,5
1197,9913,1,10,5
1198,17922,1,0,34
1199,17922,1,2,6
1200,17922,1,3,4
1201,17922,1,10,4
1202,17922,1,20,1
1203,1951,1,0,42
1204,1951,1,3,1
1205,1951,1,10,10
1206,10094,1,0,28
1207,10094,1,3,1
1208,10094,1,10,6
1209,18101,1,0,20
1210,18101,1,3,1
1211,18101,1,10,3
1212,2334,1,0,20
1213,2334,1,10,3
1214,10471,1,0,50
1215,10471,1,3,3
1216,10471,1,6,1
1217,10471,1,10,4
1218,18472,1,0,21
1219,18472,1,3,2
1220,18472,1,10,3
1221,18472,1,66,1
1222,2523,1,0,58
1223,2523,1,3,3
1224,2523,1,10,6
1225,2523,1,20,1
1226,2523,1,66,1
1227,10658,1,0,48
1228,10658,1,3,1
1229,10658,1,10,3
1230,18656,1,0,106
1231,18656,1,10,6
1232,2713,1,0,42
1233,2713,1,3,1
1234,2713,1,10,1
1235,10845,1,0,8
1236,10845,1,3,1
1237,10845,1,6,1
1238,10845,1,10,1
1239,5448,1,3,1
1240,5448,1,6,2
1241,5448,1,10,1
1242,13551,1,0,2
1243,13551,1,3,1
1244,21494,1,0,7
1245,21494,1,3,1
1246,21494,1,5,1
1247,21494,1,6,3
1248,5653,1,0,18
1249,5653,1,6,2
1250,5653,1,10,1
