"Common.Name","Genus","Species","Family","Fish.Code","Symbol","TNS.Field","MWT.Species.Code","MWT.Field"
"Sturgeon (Unid)",NA,NA,"Acipenseridae",21,"ACI","STURGFMY",NA,NA
"Surf Smelt","Hypomesus","pretiosis","Osmeridae",NA,NA,NA,27,"SURFSMLT"
"Surfperches (Unid)",NA,NA,"Embiotocidae",45,"EMB","SURFPRCH",NA,NA
"Threadfin Shad","Dorosoma","petenense","Clupeidae",6,"TFS","THREADFN",20,"TFINSHAD"
"Threespine Stickleback","Gasterosteus","aculeatus","Gasterosteidae",20,"STB","STICKLEB",38,"STCKL3SP"
"Tidewater Goby","Eucyclogobius","newberryi","Gobiidae",12,"TWG","TIDEGOBY",NA,NA
"Topsmelt","Atherinops","affinis","Atherinopsidae",33,"TSM","TOPSMELT",39,"TOPSMELT"
"Tridentiger spp.","Tridentiger",NA,"gobiidae",75,"TRI",NA,NA,NA
"Tule Perch","Hysterocarpus","traski","Embiotocidae",46,"TP","TULEPRCH",40,"TULEPRCH"
"Unid Flounder",NA,NA,NA,3127,NA,NA,NA,NA
"Unknown",NA,NA,"Unknown",99,"UNK","UNKNOWN",NA,NA
"Wakasagi","Hypomesus","nipponensis","Osmeridae",67,"WK","WAKASAGI",93,"WAKASAGI"
"Walleye Surfperch","Hyperprosopon","ellipticum","Embiotocidae",NA,NA,NA,43,"WALSPRCH"
"Warmouth","Lepomis","gulosus","Centrarchidae",17,"WAM",NA,54,"WARMOUTH"
"White Catfish","Ameiurus","catus","Ictaluridae",8,"WCF","WHTCATFS",5,"WHITECAT"
"White Crappie","Pomoxis","annularis","Centrarchidae",40,"WC","WHTCRAPP",7,"WHTCRAPP"
"White Croaker","Genyonemus","lineatus","Sciaenidae",51,"WCR","WHTCROAK",41,"WHTCROAK"
"White Seaperch","Phanerodon","furcatus","Embiotocidae",NA,NA,NA,90,"WHTSPRCH"
"White Sturgeon","Acipenser","transmontanus","Acipenseridae",22,"WST","WHTSTURG",37,"WHTSTURG"
"Whitebait Smelt","Allosmerus","elongatus","Osmeridae",NA,NA,NA,28,"WBATSMLT"
"Wolf Eel","Anarrhichthys","ocellatus","Anarhichadidae",NA,NA,NA,87,"WOLFEEL"
"Yellowfin Goby","Acanthogobius","flavimanus","Gobiidae",10,"YFG","YELFGOBY",42,"YELFGOBY"
