"OrganismRowID","OrganismCodeMaster","CommonNameMaster","OrganismCodeSTN","FieldNameSTN","OrganismCodeMWT","FieldNameMWT","OrganismSymbol","Active","CommonName","Phylum","Class","Order","Family","Genus","Species"
100,218,"Pacific electric ray",124,,91,"PACELRAY",,1,"Pacific Electric Ray","Chordata","NA","NA","Torpedinidae","Torpedo","californica"
101,1303,"Pacific hake",,,,,,1,,,,,,,
102,3105,"Pacific halibut",140,,79,"PHALIBUT",,1,"Pacific Halibut","Chordata","NA","NA","Bothidae","Hippoglossus","stenolepis"
103,1002,"Pacific herring",52,"PHERRING",16,"PHERRING","PH",1,"Pacific Herring","Chordata","NA","NA","Clupeidae","Clupea","pallasi"
104,21,"Pacific lamprey",61,"PACLAMP",10,"PLAMPREY","PL",1,"Pacific Lamprey","Chordata","NA","NA","Petromyzontidae","Lampetra","tridentata"
105,2712,"Pacific pompano",102,,15,"PBUTTER",,1,"Pacific Butterfish","Chordata","NA","NA","Stromateidae","Peprilus","simillimus"
106,2675,"Pacific sand lance",,,,,,1,,,,,,,
107,3001,"Pacific sanddab",103,,17,"PSANDAB",,1,"Pacific Sanddab","Chordata","NA","NA","Bothidae","Citharichthys","sordidus"
108,1006,"Pacific sardine",155,,96,"PSARDINE",,1,"Pacific Sardine","Chordata","NA","NA","NA","Sardinops","sagax"
109,2407,"Pacific staghorn sculpin",48,"STAGHORN",30,"PSTGSCLP","SSC",1,"Staghorn Sculpin","Chordata","NA","NA","Cottidae","Leptocottus","armatus"
110,1302,"Pacific tomcod",104,,18,"PTOMCOD",,1,"Pacific Tomcod","Chordata","NA","NA","Gadidae","Microgadus","proximus"
111,2414,"padded sculpin",,,,,,1,,,,,,,
112,2665,"painted greenling",,,,,,1,,,,,,,
113,5102,"Palaemon spp.",109,,23,"PALAEMON","PAL",1,"Palaemon","Arthropoda","NA","NA","Caridae","Palaemon","macrodactylus"
114,2826,"penpoint gunnel",,,,,,1,,,,,,,
115,,"perches (Unid)",43,,,,"PER",1,"Perches (Unid)","Chordata","NA","NA","Percidae","NA","NA"
116,2118,"pile perch",115,,47,"PILEPRCH",,1,"Pile Surfperch","Chordata","NA","NA","Embiotocidae","Damalichthys","vacca"
117,1101,"pink salmon",152,,,,,1,"Pink Salmon","Chordata","NA","NA","NA","Oncorhynchus","gorbuscha"
118,4032,"plainfin midshipman",50,"PLNMIDSH",14,"PMIDSHIP","PFM",1,"Plainfin Midshipman","Chordata","NA","NA","Batrachoididae","Porichthys","notatus"
119,6075,"Pleurobrachia bachei",,,107,,,1,,,,,,,
120,1824,"poacher (Unid)",,,,,,1,,,,,,,
121,6032,"Polyorchis penicillatus",181,"POLYORCP",105,,"POL",1,"Polyorchis penicillatus","Cnidaria","NA","NA","NA","NA","NA"
122,2813,"prickleback (Unid)",,,,,,1,,,,,,,
123,7191,"prickly sculpin",49,"PRKSCULP",73,"PRCKSCUL","PSC",1,"Prickly Sculpin","Chordata","NA","NA","Cottidae","Cottus","asper"
124,7145,"pumpkinseed",150,,,,,1,"Pumpkinseed","Chordata","NA","NA","NA","Lepomis","gibbosus"
125,1834,"pygmy poacher",,,,,,1,,,,,,,
126,2512,"queenfish",,,,,,1,,,,,,,
127,2112,"rainbow seaperch",,,,,,1,,,,,,,
128,7118,"rainwater killifish",65,"RAINKILL",,,"RK",1,"Rainwater Killifish","Chordata","NA","NA","Fundulidae","Lucania","parva"
129,1641,"red brotula",,,,,,1,,,,,,,
130,2405,"red Irish lord",,,,,,1,,,,,,,
131,7061,"red shiner",154,,,,,1,"Red Shiner","Chordata","NA","NA","NA","Cyprinella","lutrensis"
132,7144,"redear sunfish",56,,104,,"RES",1,"Redear Sunfish","Chordata","NA","NA","Centrarchidae","Lepomis","microlophus"
133,2103,"redtail surfperch",134,,46,"RTLSPRCH",,1,"Redtail Surfperch","Chordata","NA","NA","Embiotocidae","Amphistichus","rhodoterus"
134,,"riffle sculpin",143,,112,,,1,"Riffle Sculpin","Chordata","NA","NA","NA","Cottus","gulosus"
135,22,"river lamprey",62,"RIVRLAMP",11,"RLAMPREY","RL",1,"River Lamprey","Chordata","NA","NA","Petromyzontidae","Lampetra","ayresi"
136,3108,"rock sole",122,,85,"ROCKSOLE",,1,"Rock Sole","Chordata","NA","NA","Pleuronectidae","Lepidopsetta","bilineata"
137,2398,"rockfish (Unid)",,,,,,1,,,,,,,
138,2677,"rockpool blenny",,,,,,1,,,,,,,
139,2117,"rubberlip seaperch",128,,44,"RUBLPRCH",,1,"Rubberlip Surfperch","Chordata","NA","NA","Embiotocidae","Rhacochilus","toxotes"
140,7053,"Sacramento blackfish",118,,62,"SACBLAKF",,1,"Sacramento Blackfish","Chordata","NA","NA","Cyprinidae","Orthodon","microlepidotus"
141,,"Sacramento perch",42,"SACPERCH",51,"SACPERCH","SP",1,"Sacramento Perch","Chordata","NA","NA","Centrarchidae","Archoplites","interruptus"
142,7057,"Sacramento pikeminnow",30,"SACSQUAW",63,"SACSQUAW","SQ",1,"Sacramento Pikeminnow","Chordata","NA","NA","Cyprinidae","Ptychocheilus","grandis"
143,7080,"Sacramento sucker",64,"SACSUCKR",66,"SACSUCKR","SUC",1,"Sacramento Sucker","Chordata","NA","NA","Catostomidae","Catostomus","occidentalis"
144,2829,"saddleback gunnel",,,,,,1,,,,,,,
145,3126,"sand sole",119,,81,"SANDSOLE",,1,"Sand Sole","Chordata","NA","NA","Pleuronectidae","Psettichthys","melanostictus"
146,3000,"sanddab (Unid)",,,,,,1,,,,,,,
147,221,"sandpaper skate",,,,,,1,,,,,,,
148,2432,"scalyhead sculpin",,,,,,1,,,,,,,
149,,"Scrippsia pacifica",,,106,,,1,,,,,,,
150,2445,"sculpin (Unid)",63,"SCULPINF",,,"COT",1,"Sculpins (Unid)","Chordata","NA","NA","Cottidae","NA","NA"
151,2868,"shimofuri goby",66,"SHIMGOBY",95,"SHIMGOBY","SG",1,"Shimofuri Goby","Chordata","NA","NA","Gobiidae","Tridentiger","bifasciatus"
152,2105,"shiner perch",47,"SHNRPRCH",21,"SHNRPRCH","SHP",1,"Shiner Perch","Chordata","NA","NA","Embiotocidae","Cymatogaster","aggregata"
153,2866,"shokihaze goby",97,,97,"SHOKGOBY","SKG",1,"Shokihaze Goby","Chordata","NA","NA","Gobiidae","Tridentiger","barbatus"
154,212,"shovelnose guitarfish",,,,,,1,,,,,,,
155,1593,"showy snailfish",,,,,,1,,,,,,,
156,2111,"silver surfperch",,,110,,,1,,,,,,,
157,2690,"silverside (Unid)",32,"SLVESIDF",,,"ISS",1,"Silversides (Unid)","Chordata","NA","NA","Atherinopsidae","NA","NA"
158,1591,"slipskin snailfish",,,,,,1,,,,,,,
159,7151,"smallmouth bass",68,"SMLMBASS",94,"SMTHBASS","SMB",1,"Smallmouth Bass","Chordata","NA","NA","Centrarchidae","Micropterus","dolomieui"
160,1200,"smelt (Unid)",1,"SMELT",88,"SMLTFMLY","OSM",1,"Smelt (Unid)","Chordata","NA","NA","Osmeridae","NA","NA"
161,1590,"snailfish (Unid)",,,,,,1,,,,,,,
162,2807,"snake prickleback",,,,,,1,,,,,,,
163,,"speckled dace",149,,,,,1,"Speckled Dace","Chordata","NA","NA","NA","Rhinichthys","osculus"
164,3002,"speckled sanddab",80,,80,"SPKSANDB",,1,"Speckled Sanddab","Chordata","NA","NA","Bothidae","Citharichthys","stigmaeus"
165,163,"spiny dogfish",117,,57,"SPINYDOG",,1,"Spiny Dogfish","Chordata","NA","NA","Squalidae","Squalus","acanthias"
166,7054,"splittail",28,"SPLITAIL",29,"SPLITAIL","ST",1,"Splittail","Chordata","NA","NA","Cyprinidae","Pogonichthys","macrolepidotus"
167,2109,"spotfin surfperch",130,,89,"SPTFPRCH",,1,"Spotfin Surfperch","Chordata","NA","NA","Embiotocidae","Hyperprosopon","anale"
168,7152,"spotted bass",,,113,,,1,,,,,,,
169,1621,"spotted cusk-eel",,,,,,1,,,,,,,
170,3121,"starry flounder",19,"STARYFLD",31,"STRFLNDR","STF",1,"Starry Flounder","Chordata","NA","NA","Pleuronectidae","Platichthys","stellatus"
171,1107,"steelhead",55,,32,"STEELHED","STH",1,"Steelhead","Chordata","NA","NA","Salmonidae","Oncorhynchus","mykiss"
172,7138,"striped bass",,,,,,1,,,,,,,
173,7138,"striped bass age0",0,"STPBASS0",33,"STPBASS0","SB0",1,"Age-0 Striped Bass","Chordata","NA","NA","Moronidae","Morone","saxatilis"
174,7138,"striped bass age1",16,,34,"STPBASS1","SB1",1,"Striped Bass Adult","Chordata","NA","NA","Moronidae","Morone","saxatilis"
175,7138,"striped bass age2plus",132,,35,"STPBASS2","SB2",1,"Striped Bass Adult 2","Chordata","NA","NA","Percichthyidae","Morone","saxatilis"
176,7138,"striped bass age1 (TNS)",17,,,,,1,"Age-1 Striped Bass","Chordata","NA","NA","NA","NA","NA"
177,7138,"striped bass age2plus (TNS)",18,,,,,1,"Age-2 Striped Bass","Chordata","NA","NA","NA","NA","NA"
178,,"striped bass age3plus",,,109,,,1,,,,,,,
179,2758,"striped kelpfish",,,,,,1,,,,,,,
180,2725,"striped mullet",142,,,,,1,"Striped Mullet","Chordata","NA","NA","NA","Mugil","cephalus"
181,2108,"striped seaperch",,,,,,1,,,,,,,
182,,"sturgeon (Unid)",21,"STURGFMY",,,"ACI",1,"Sturgeon (Unid)","Chordata","NA","NA","Acipenseridae","NA","NA"
183,7166,"sunfish (Unid)",36,"SUNFISHF",,,"CNT",1,"Centrarchids (Unid)","Chordata","NA","NA","Centrarchidae","NA","NA"
184,1203,"surf smelt",112,,27,"SURFSMLT",,1,"Surf Smelt","Chordata","NA","NA","Osmeridae","Hypomesus","pretiosis"
185,2120,"surfperch (Unid)",45,"SURFPRCH",,,"EMB",1,"Surfperches (Unid)","Chordata","NA","NA","Embiotocidae","NA","NA"
186,211,"thornback",,,,,,1,,,,,,,
187,1007,"threadfin shad",6,"THREADFN",20,"TFINSHAD","TFS",1,"Threadfin Shad","Chordata","NA","NA","Clupeidae","Dorosoma","petenense"
188,1565,"threespine stickleback",20,"STICKLEB",38,"STCKL3SP","STB",1,"Three Spine Stickleback","Chordata","NA","NA","Gasterosteidae","Gasterosteus","aculeatus"
189,111,"thresher shark",,,,,,1,,,,,,,
190,2437,"tidepool sculpin",,,,,,1,,,,,,,
191,2876,"tidewater Goby",12,"TIDEGOBY",,,"TWG",1,"Tidewater Goby","Chordata","NA","NA","Gobiidae","Eucyclogobius","newberryi"
192,2691,"topsmelt",33,"TOPSMELT",39,"TOPSMELT","TSM",1,"Topsmelt","Chordata","NA","NA","Atherinopsidae","Atherinops","affinis"
193,2867,"Tridentiger spp.",98,,,,"TRI",1,"Tridentiger spp","Chordata","NA","NA","Gobiidae","Tridentiger","Tridentiger spp."
194,1570,"tubesnout",,,,,,1,,,,,,,
195,,"tui chub",145,,,,,1,"Tui Chub","Chordata","NA","NA","NA","Gila","bicolor"
196,7178,"tule perch",46,"TULEPRCH",40,"TULEPRCH","TP",1,"Tule Perch","Chordata","NA","NA","Embiotocidae","Hysterocarpus","traski"
197,2329,"vermilion rockfish",,,,,,1,,,,,,,
198,7043,"wakasagi",67,"WAKASAGI",93,"WAKASAGI","WK",1,"Wakasagi","Chordata","NA","NA","Osmeridae","Hypomesus","nipponensis"
199,2110,"walleye surfperch",114,,43,"WALSPRCH",,1,"Walleye Surfperch","Chordata","NA","NA","Embiotocidae","Hyperprosopon","ellipticum"
200,7147,"warmouth",136,,54,"WARMOUTH",,1,"Warmouth","Chordata","NA","NA","Centrarchidae","Lepomis","gulosus"
201,23,"western brook lamprey",,,,,,1,,,,,,,
202,7124,"western mosquitofish",31,"MOSQUITO",70,"MOSQUITO","GAM",1,"Mosquitofish","Chordata","NA","NA","Poeciliidae","Gambusia","affinis"
203,7103,"white catfish",8,"WHTCATFS",5,"WHITECAT","WCF",1,"White Catfish","Chordata","NA","NA","Ictaluridae","Ameiurus","catus"
204,7148,"white crappie",40,"WHTCRAPP",7,"WHTCRAPP","WC",1,"White Crappie","Chordata","NA","NA","Centrarchidae","Pomoxis","annularis"
205,2509,"white croaker",51,"WHTCROAK",41,"WHTCROAK","WCR",1,"White Croaker","Chordata","NA","NA","Sciaenidae","Genyonemus","lineatus"
206,2504,"white seabass",,,99,"WSEABASS",,1,,,,,,,
207,2116,"white seaperch",131,,90,"WHTSPRCH",,1,"White Surfperch","Chordata","NA","NA","Embiotocidae","Phanerodon","furcatus"
208,1502,"white sturgeon",22,"WHTSTURG",37,"WHTSTURG","WST",1,"White Sturgeon","Chordata","NA","NA","Acipenseridae","Acipenser","transmontanus"
209,1201,"whitebait smelt",113,,28,"WBATSMLT",,1,"Whitebait Smelt","Chordata","NA","NA","Osmeridae","Allosmerus","elongatus"
210,2679,"wolf eel",123,,87,"WOLFEEL",,1,"Wolf Eel","Chordata","NA","NA","Anarhichadidae","Anarrhichthys","ocellatus"
211,,"yellow bullhead",141,,,,,1,"Yellow Bullhead","Chordata","NA","NA","NA","Ameiurus","natalis"
212,,"yellow perch",144,,,,,1,"Yellow Perch","Chordata","NA","NA","NA","Perca","flavescens"
213,1532,"yellow snake eel",,,,,,1,,,,,,,
214,2880,"yellowfin goby",10,"YELFGOBY",42,"YELFGOBY","YFG",1,"Yellowfin Goby","Chordata","NA","NA","Gobiidae","Acanthegobius","flavimanus"
215,2318,"yellowtail rockfish",,,,,,1,,,,,,,
216,,,184,"PLEURO",,,"PLU",1,"Pleurobrachia jellyfish","Cnidaria","NA","NA","NA","NA","NA"
217,,,185,"BRF",,,,1,"Brown Rockfish","Chordata","NA","NA","Scorpaenidae","Sebastes","chrysomelas"
218,,,186,"SCRIP",,,"SP",1,"Scrippsia pacifica","Cnidaria","NA","NA","Polyorchidae","Scrippsia","Pacifica"
219,,,187,,,,"SHR",1,"Shrimp (UNID)","Arthropoda",,,,,
220,,,188,,98,,,1,"Jelly (UNID)","Cnidaria",,,,,
221,,,190,"LEPOMIS",,,"LEP",1,"Lepomis (UNID)","Chordata",,,"Centrarchidae",,
222,,,191,"POMOXIS",,,"POM",1,"Pomoxis (UNID)","Chordata",,,"Centrarchidae",,
223,,,192,"UNID INV",,,,1,"Unknown Invertebrate (UNID)",,,,,,
224,,,193,"UNID DMG",,,"DMG",1,"Unknown Damaged (UNID)",,,,,,
225,,,194,"Tri.SB0",,,,1,"Trid.SB0 (UNID)","Chordata",,,,,
