"CatchRowID","TowRowID","OrganismCode","Catch"
116,116,14,5
117,8993,0,778
118,493,6,4
119,12098,99,1
120,8383,2,2
121,5932,10,1
122,108,20,1
123,7237,28,1
124,7203,3,2
125,17292,53,1
126,2344,33,1
127,9591,10,37
128,839,0,20
129,9190,0,2
130,3586,0,5
131,2896,8,1
132,14804,3,1
133,15946,8,2
134,7114,8,1
135,15877,0,4
136,16940,33,1
137,2672,14,1
138,10383,5,4
139,5549,3,4
140,13418,7,4
141,354,0,34
142,202,0,18
143,7511,98,1
144,13063,110,4
145,5376,0,5
146,10751,0,12
147,19577,10,1
148,14432,19,1
149,11787,53,1
150,7960,20,2
151,19950,109,1
152,10212,2,1
153,10771,20,1
154,15212,0,62
155,17328,3,2
156,7126,3,33
157,5665,3,4
158,5502,2,2
159,11502,5,1
160,277,98,1
161,19896,3,1
162,1847,48,1
163,18591,0,2
164,11740,98,2
165,17386,6,1
166,17015,53,3
167,2950,10,1
168,19109,0,3
169,9806,0,41
170,14179,110,30
171,11600,0,59
172,17332,5,1
173,9802,10,1
174,11671,5,1
175,17727,20,1
176,1033,3,1
177,15599,0,126
178,7929,99,1
179,12325,8,2
180,17965,14,33
181,10144,26,1
182,17445,14,1
183,15646,2,13
184,17186,3,3
185,4018,2,1
186,13672,1,149
187,7619,157,8
188,19143,3,1
189,13039,98,1
190,9736,0,6
191,15754,0,6
192,2559,0,1
193,8013,0,1
194,17448,0,1
195,6253,0,15
196,10943,10,5
197,13987,26,1
198,19755,98,2
199,12410,10,1
200,17436,0,1
201,12082,97,1
202,9366,0,260
203,13732,5,3
204,15133,110,1
205,17324,3,25
206,19195,0,42
207,211,6,10
208,8304,98,1
209,13593,3,8
210,14083,33,1
211,1582,0,1
212,15206,110,60
213,9413,7,1
214,15877,5,1
215,5381,110,6
216,15497,0,56
217,12528,99,1
218,1508,10,1
219,15809,14,4
220,10691,53,16
221,8209,8,2
222,12366,0,6
223,18541,1,12
224,3089,14,8
225,17015,5,1
226,6519,0,2
227,14476,14,2
228,15002,8,7
229,12580,110,30
230,9170,2,11
231,8419,182,1
232,42,9,2
233,19680,98,4
234,18205,3,2
235,18650,1,1
236,16374,14,15
237,1286,110,1
238,19387,0,1
239,6805,157,5
240,5990,20,3
241,1280,0,3
242,1678,28,2
243,5835,0,5
244,7556,110,15
245,7143,3,15
246,4393,5,3
247,15955,0,1
248,17982,8,12
249,12647,0,1
250,16227,6,38
251,9303,2,7
252,16611,3,2
253,6226,98,4
254,7014,20,1
255,10448,6,3
256,10835,0,15
257,14520,7,5
258,15714,0,447
259,2577,2,1
260,15098,3,1
261,184,28,2
262,14399,0,56
263,14768,3,1
264,11831,157,1
265,8731,0,24
266,15675,0,35
267,7362,0,1
268,925,28,1
269,14440,3,7
270,15406,0,17
271,14915,5,6
272,12149,2,2
273,19231,3,23
274,3946,2,2
275,10375,8,1
276,9762,3,1
277,19937,110,1
278,10030,14,2
279,18116,0,1
280,1111,28,1
281,18978,3,2
282,18041,6,2
283,5528,3,13
284,9601,2,3
285,2361,8,20
286,9445,97,1
287,17584,8,31
288,3266,11,4
289,9019,29,1
290,5502,52,2
291,6153,14,48
292,7713,6,1
293,13720,14,1
294,8152,110,5
295,568,5,1
296,11845,0,1
297,11569,5,3
298,11367,0,194
299,13894,3,134
300,7284,0,15
301,14693,19,1
302,846,14,4
303,857,0,3
304,13608,50,1
305,12082,0,2
306,5299,98,1
307,16069,53,1
308,18887,3,5
309,3545,14,4
310,15127,109,10
311,8986,0,290
312,18488,2,2
313,18914,2,2
314,2480,1,6
315,19711,157,4
316,3195,0,3
317,15411,0,14
318,5555,2,1
319,18925,3,1
320,3908,0,51
321,13449,14,43
322,3424,0,8
323,14264,97,2
324,12466,39,1
325,393,98,1
326,19751,53,2
327,4678,0,16
328,11391,0,13
329,15864,3,23
330,1720,10,1
331,16428,0,4
332,14260,3,1
333,902,0,9
334,19240,0,8
335,18736,14,2
336,6470,52,1
337,1304,3,1
338,19217,2,1
339,9686,0,2
340,11164,110,2
341,5668,0,19
342,7308,3,4
343,14061,14,5
344,11185,20,1
345,9756,0,19
346,4043,3,3
347,12191,0,2
348,10102,0,8
349,2877,10,1
350,498,5,1
351,14559,6,3
352,14549,0,25
353,13197,52,2
354,12093,44,1
355,2914,14,2
356,19237,2,1
357,13052,6,3
358,8857,0,3
359,16232,0,4
360,2138,14,8
361,17072,3,4
362,19372,3,1
363,2381,1,9
364,6017,14,3
365,18469,0,200
366,17751,28,1
367,4131,0,338
368,10313,0,5
369,10002,0,3
370,15793,2,12
371,7492,110,75
372,10619,0,5
373,5454,2,1
374,3862,0,1
375,15722,2,1
376,18625,0,43
377,10313,28,2
378,13677,3,25
379,15292,10,1
380,7371,5,1
381,17079,0,13
382,1376,0,1
383,7237,3,14
384,10586,5,1
385,954,2,2
386,2830,20,1
387,11088,5,2
388,5808,0,2
389,5363,5,1
390,13747,2,1
391,11620,0,15
392,795,3,5
393,13186,5,2
394,17555,3,2
395,4673,0,8
396,11303,50,16
397,17883,6,23
398,2700,6,1
399,2132,0,32
400,16825,98,1
401,5561,8,3
402,4009,3,1
403,8953,8,1
404,9722,10,2
405,4163,7,1
406,7574,14,2
407,7849,5,1
408,13995,10,1
409,1544,3,1
410,17149,0,1
411,5757,14,28
412,7483,20,1
413,7662,6,2
414,16567,2,14
415,10016,0,14
416,16115,20,1
417,15730,40,1
418,11598,3,5
419,4353,3,2
420,13550,0,3
421,9254,7,1
422,10332,0,1
423,5979,5,8
424,9316,3,1
425,19764,28,1
426,17312,6,35
427,10013,3,2
428,10029,0,14
429,10513,3,1
430,11158,98,1
431,72,6,4
432,15555,2,2
433,16383,0,2
434,7929,98,69
435,8657,0,108
436,2491,14,3
437,10181,0,1
438,13938,14,4
439,10860,6,1
440,4010,5,1
441,14894,6,1
442,9277,0,85
443,12538,110,5
444,7486,0,1
445,15656,20,1
446,10338,5,1
447,14164,10,1
448,10862,53,3
449,7802,3,1
450,18380,5,1
451,16047,8,1
452,16131,3,3
453,3418,0,17
454,296,6,4
455,12982,6,1
456,4100,3,7
457,15096,3,13
458,1515,0,8
459,17852,5,4
460,3014,50,4
461,412,3,3
462,11433,28,1
463,11365,0,107
464,14783,28,1
465,17921,3,2
466,14869,28,1
467,16517,14,6
468,6947,0,325
469,11604,0,20
470,9755,3,3
471,17750,0,11
472,119,20,1
473,9606,10,3
474,3543,14,3
475,9083,0,316
476,7786,0,2
477,14409,7,50
478,5411,3,1
479,19459,10,1
480,2191,0,16
481,7423,2,1
482,12949,157,2
483,13870,14,1
484,11274,2,1
485,5057,14,2
486,16619,0,1
487,16261,3,3
488,8206,110,7
489,13197,0,1
490,7657,157,16
491,13147,189,1
492,1304,14,12
493,1910,3,1
494,13474,6,9
495,18014,3,1
496,18715,0,1
497,238,63,1
498,15622,0,26
499,6329,2,10
500,17036,0,2
501,109,5,7
502,13423,3,2
503,12602,110,30
504,244,10,3
505,10119,3,2
506,9765,20,1
507,19769,98,10
508,5072,2,1
509,1272,98,22
510,2528,99,1
511,2343,14,4
512,8341,97,1
513,5008,98,2
514,14894,0,21
515,18583,0,1
516,18362,5,1
517,7686,0,5
518,10320,0,3
519,7482,99,1
520,18243,53,2
521,19243,3,3
522,8914,0,5
523,18335,110,50
524,18728,3,27
525,15309,50,1
526,451,2,33
527,12616,9,13
528,2574,98,1
529,14022,6,1
530,2133,0,25
531,12408,2,13
532,547,0,5
533,19414,0,38
534,405,2,1
535,4931,3,2
536,15399,10,1
537,15528,0,5
538,103,10,6
539,18291,109,1
540,11588,14,11
541,3994,0,3
542,3650,0,4
543,18210,0,1
544,11339,3,10
545,1032,3,1
546,13136,0,1
547,2223,3,1
548,18691,0,62
549,17858,6,5
550,15372,0,38
551,12567,14,5
552,11838,9,10
553,3803,0,2
554,12371,0,18
555,3947,3,1
556,7177,0,3
557,11416,0,23
558,6911,10,2
559,5361,110,60
560,2157,0,201
561,4636,0,199
562,11254,14,3
563,2612,3,1
564,13551,14,6
565,1272,14,3
566,15386,0,90
567,10195,0,1
568,11794,39,1
569,12403,0,34
570,8858,0,3
571,14494,7,9
572,1977,2,1
573,13703,0,33
574,2192,0,7
575,1480,0,6
576,16099,0,28
577,13321,6,1
578,5030,0,1
579,10683,0,19
580,9483,14,1
581,19863,0,3
582,16108,14,6
583,16928,3,2
584,2859,0,16
585,7313,2,16
586,16102,0,1
587,7233,2,7
588,17779,0,1
589,9875,8,6
590,13673,5,54
591,18484,3,8
592,1745,109,20
593,9286,14,2
594,13764,0,97
595,2469,1,34
596,2510,1,1
597,5763,0,11
598,12650,8,2
599,11077,5,2
600,19660,156,50
601,9002,19,1
602,12846,157,1
603,18867,0,11
604,14464,3,10
605,5860,7,1
606,14917,0,11
607,19167,3,3
608,15559,2,129
609,8892,0,1
610,415,0,8
611,11020,14,34
612,18799,3,72
613,10187,5,1
614,6598,156,9
615,10039,14,1
616,10287,3,3
617,8719,0,8
618,13547,14,15
619,14862,110,200
620,11258,6,12
621,15692,0,287
622,16182,0,3
623,11517,41,1
624,2755,2,1
625,19870,110,160
626,18029,5,2
627,5689,0,57
628,13991,10,31
629,9504,8,1
630,13809,53,1
631,12284,8,62
632,9957,34,2
633,9658,0,26
634,15418,7,11
635,12702,110,1
636,604,3,45
637,10408,22,1
638,4389,7,1
639,14407,7,50
640,14962,14,5
641,12318,0,38
642,11675,6,2
643,5543,10,2
644,3680,0,3
645,12051,14,1
646,1792,8,33
647,14897,6,6
648,11336,30,1
649,577,14,12
650,18997,3,1
651,12775,0,1
652,6449,110,21
653,6529,26,1
654,16130,0,9
655,2837,0,11
656,1177,97,17
657,18651,0,10
658,15207,2,1
659,13495,110,1
660,9742,10,1
661,11571,3,23
662,11037,14,1
663,9368,3,4
664,7186,0,38
665,11587,0,24
666,10827,0,7
667,18297,66,13
668,12766,157,18
669,911,8,1
670,16442,110,1
671,11523,14,1
672,3247,33,15
673,951,0,17
674,2185,3,4
675,2268,0,32
676,16022,0,73
677,6101,10,2
678,14003,20,1
679,7974,3,8
680,17543,0,1
681,13808,6,3
682,17255,14,2
683,1758,156,2
684,11387,5,1
685,15321,5,1
686,6096,3,34
687,16256,0,3
688,11680,5,1
689,2464,7,1
690,15196,5,1
691,12846,52,3
692,8516,9,1
693,12066,156,1
694,4535,0,107
695,12486,3,2
696,10367,10,1
697,15324,0,14
698,7371,0,10
699,14813,0,69
700,2462,7,5
701,19167,15,1
702,5661,3,1
703,18892,0,7
704,128,6,27
705,3985,5,1
706,10924,14,1
707,6024,14,4
708,7341,0,7
709,2423,14,5
710,15364,3,15
711,3573,14,27
712,6906,2,7
713,4370,0,10
714,1870,0,3
715,10627,0,3
716,1210,6,1
717,9120,7,20
718,17047,5,1
719,10211,14,13
720,2027,2,3
721,14712,8,2
722,2315,0,1
723,9109,0,27
724,12759,3,5
725,14000,10,4
726,152,0,31
727,2377,0,94
728,5745,8,1
729,11485,8,7
730,17065,3,3
731,6633,157,4
732,11634,0,44
733,7909,52,1
734,14603,3,3
735,14694,28,1
736,8630,0,80
737,11158,0,1
738,767,3,7
739,18988,0,12
740,15089,0,97
741,7127,3,61
742,11473,0,86
743,6752,0,1
744,19161,3,3
745,13884,0,1
746,15682,0,564
747,9703,6,2
748,2447,0,30
749,6100,20,4
750,5253,0,19
751,191,10,3
752,6321,50,1
753,523,0,1
754,11591,14,1
755,4238,0,257
756,1783,157,2
757,18546,1,1
758,9130,0,59
759,9360,0,10
760,1232,3,2
761,8500,0,3
762,7705,48,1
763,5681,33,1
764,10315,0,11
765,1682,0,1
766,5283,98,21
767,10549,5,3
768,7143,20,1
769,18057,110,1
770,9607,0,8
771,2465,1,1
772,9393,2,2
773,2751,0,19
774,1700,3,26
775,19408,0,49
776,15787,0,25
777,11446,5,9
778,19752,156,1
779,16648,33,1
780,5986,4,1
781,8539,6,22
782,14606,5,1
783,9306,2,107
784,2351,2,1
785,3158,10,1
786,2593,6,14
787,14776,110,200
788,12485,28,8
789,17140,6,5
790,2602,5,3
791,8532,98,1
792,5538,10,2
793,3843,5,2
794,5745,5,11
795,13573,8,11
796,13764,5,25
797,3789,0,5
798,15367,0,23
799,15122,0,3
800,17279,2,1
801,13355,0,1
802,10410,2,11
803,8908,0,9
804,3792,14,1
805,11206,10,1
806,2749,10,1
807,10199,20,1
808,19314,0,2
809,14990,6,1
810,15163,0,81
811,17804,3,1
812,15991,14,3
813,9577,51,1
814,9342,3,5
815,6497,110,1
816,11472,0,137
817,12175,0,2
818,5603,8,230
819,19659,157,3
820,14769,110,150
821,16309,14,64
822,15516,3,5
823,16291,3,1
824,18875,0,41
825,7465,0,3
826,17190,5,1
827,1500,0,1
828,3034,10,12
829,7361,3,3
830,7121,0,2
831,1590,10,2
832,5303,158,1
833,4805,0,1
834,14156,157,1
835,4005,41,1
836,7447,8,2
837,741,19,1
838,10529,5,2
839,4157,3,2
840,10369,0,54
841,13880,5,2
842,826,33,1
843,551,5,3
844,117,10,1
845,5554,3,24
846,2121,3,7
847,12226,10,1
848,14029,3,71
849,7102,5,3
850,19963,0,2
851,4133,3,1
852,19933,2,45
853,308,8,2
854,4239,5,1
855,12817,28,1
856,9626,3,8
857,3866,110,200
858,12480,0,3
859,19450,14,1
860,319,2,4
861,19395,3,8
862,1560,10,1
863,18358,0,1
864,18934,0,16
865,9590,20,1
866,12308,3,14
867,1618,10,16
868,10367,3,6
869,6008,0,208
870,14699,0,13
871,2375,8,2
872,13886,6,28
873,2879,3,4
874,7807,2,1
875,537,33,1
876,7082,3,1
877,11593,3,5
878,16792,110,30
879,6638,97,1
880,10428,0,2
881,11376,2,3
882,10897,0,4
883,12005,14,2
884,11964,6,4
885,14614,0,2
886,14015,0,3
887,7319,0,179
888,9424,0,27
889,6431,110,50
890,12051,6,1
891,10301,28,1
892,1236,0,3
893,19218,20,1
894,10320,5,2
895,6693,66,1
896,17640,3,1
897,4066,3,1
898,18561,0,3
899,4031,6,1
900,7797,0,3
901,424,0,3
902,16402,0,5
903,14563,8,16
904,15182,0,8
905,15928,157,8
906,13406,5,3
907,9196,0,22
908,4132,0,47
909,8350,110,1
910,15386,6,1
911,17533,14,1
912,4121,7,1
913,6010,28,1
914,1252,8,1
915,8937,0,1
916,8546,2,1
917,11726,157,28
918,11649,14,12
919,15249,157,10
920,19648,14,4
921,13083,50,27
922,14014,6,1
923,9498,2,1
924,8936,6,2
925,15306,14,1
926,5604,8,1
927,3935,3,1
928,7592,52,2
929,543,3,2
930,7551,110,14
931,9369,14,1
932,12596,8,81
933,2072,0,317
934,16242,2,7
935,15120,110,25
936,9671,0,19
937,9827,2,1
938,17073,6,4
939,6056,3,3
940,17357,3,6
941,19537,110,14
942,13014,110,15
943,18057,0,4
944,4302,5,5
945,19153,15,1
946,2358,7,3
947,16744,8,5
948,18494,3,14
949,578,2,1
950,782,0,4
951,4244,3,1
952,17259,10,23
953,6759,157,3
954,311,10,156
955,9627,3,112
956,5925,0,230
957,3421,3,10
958,1875,14,3
959,1150,8,1
960,14592,0,20
961,7079,0,6
962,19453,110,30
963,11076,5,2
964,6291,6,29
965,18147,14,1
966,16177,0,3
967,5818,53,2
968,12617,9,27
969,3694,0,1
970,16495,32,29
971,7903,2,5
972,5870,4,1
973,18596,2,7
974,17914,0,1
975,2976,6,1
976,679,0,9
977,1569,0,3
978,18565,0,7
979,4881,53,1
980,15974,20,1
981,15645,14,5
982,2613,14,74
983,18390,98,12
984,16807,109,1
985,13732,8,6
986,17201,14,10
987,14768,110,200
988,13233,0,1
989,5206,10,1
990,6848,2,3
991,1053,14,1
992,7043,5,3
993,9324,8,2
994,17089,14,5
995,1696,2,14
996,14493,7,27
997,7396,3,16
998,17444,14,3
999,1614,5,1
1000,2024,110,20
1001,17348,3,5
1002,3673,14,20
1003,3632,14,11
1004,9039,0,20
1005,6125,2,1
1006,13873,3,8
1007,14036,0,37
1008,19900,157,2
1009,7504,9,2
1010,15842,0,4
1011,18974,14,4
1012,5098,109,1
1013,6303,0,2
1014,200,14,200
1015,14226,53,1
1016,19174,0,2
1017,2990,10,9
1018,11691,3,10
1019,19416,7,4
1020,10247,3,2
1021,1096,10,1
1022,7767,5,3
1023,11779,3,1
1024,3052,10,13
1025,5828,0,4
1026,2084,0,8
1027,8382,98,26
1028,5885,0,6
1029,741,10,26
1030,644,0,2
1031,7719,110,12
1032,14126,0,14
1033,458,2,18
1034,18038,5,5
1035,10929,0,7
1036,5918,0,1
1037,12572,110,1
1038,19697,109,1
1039,7944,66,1
1040,5426,6,1
1041,3621,0,5
1042,15747,0,30
1043,12203,5,1
1044,13284,98,1
1045,10104,0,16
1046,7837,98,89
1047,268,3,2
1048,15793,14,2
1049,198,35,1
1050,9590,10,46
1051,14132,0,2
1052,17364,5,1
1053,11325,3,1
1054,16629,0,10
1055,4652,0,175
1056,14674,109,10
1057,5278,98,1
1058,12742,2,5
1059,12870,110,1
1060,17866,14,29
1061,8884,0,17
1062,7447,3,1
1063,5889,0,4
1064,11452,0,108
1065,2780,53,3
1066,10552,4,1
1067,15699,0,61
1068,15372,2,3
1069,17017,5,6
1070,9413,3,2
1071,10687,53,2
1072,8421,98,6
1073,10038,50,1
1074,3064,3,3
1075,11099,10,1
1076,539,0,13
1077,9830,3,9
1078,8186,14,4
1079,5480,6,6
1080,19345,0,12
1081,11467,0,59
1082,10871,0,6
1083,13829,0,1
1084,5908,0,21
1085,10596,5,6
1086,556,2,1
1087,10888,0,6
1088,3384,0,9
1089,11603,0,8
1090,635,0,28
1091,10294,10,21
1092,14796,0,96
1093,15731,5,1
1094,2758,33,1
1095,17486,0,4
1096,7716,5,1
1097,8972,20,1
1098,17417,6,1
1099,3694,8,5
1100,13403,5,1
1101,9441,98,3
1102,16773,10,1
1103,8629,0,31
1104,16410,3,1
1105,10144,28,3
1106,8452,3,1
1107,15835,3,9
1108,19097,0,2
1109,87,110,3
1110,18930,4,1
1111,14943,8,1
1112,922,14,3
1113,18141,14,12
1114,7873,6,2
1115,7936,110,26
1116,5125,5,5
1117,9387,0,136
1118,6688,14,7
1119,4043,14,5
1120,5082,156,1
1121,9690,10,1
1122,14471,0,131
1123,11094,14,45
1124,10679,10,1
1125,12007,98,2
1126,10715,0,3
1127,19368,0,10
1128,7935,98,11
1129,16018,10,3
1130,14989,0,7
1131,15541,1,4
1132,18862,3,18
1133,5016,14,11
1134,15557,2,2
1135,451,3,1
1136,1679,2,1
1137,15153,2,29
1138,10281,0,2
1139,17262,0,18
1140,19451,0,86
1141,12930,98,2
1142,6448,5,1
1143,15119,110,12
1144,6517,3,2
1145,10300,53,7
1146,11505,3,3
1147,3957,110,50
1148,13378,10,1
1149,10034,0,22
1150,9777,10,2
1151,8167,157,17
1152,15237,8,9
1153,13393,15,6
1154,8543,2,3
1155,19114,0,14
1156,10410,3,5
1157,15344,6,5
1158,12080,98,14
1159,1113,14,39
1160,10020,14,5
1161,10959,0,4
1162,8207,3,5
1163,19868,0,2
1164,4229,0,33
1165,15141,3,1
1166,1268,3,1
1167,10858,0,39
1168,532,33,1
1169,13950,0,15
1170,2593,20,1
1171,18351,2,1
1172,1262,8,1
1173,10939,0,8
1174,8022,8,5
1175,10941,5,1
1176,9256,0,28
1177,17858,0,68
1178,9683,14,2
1179,17393,50,2
1180,18479,3,21
1181,2415,0,67
1182,19201,3,12
1183,19034,3,10
1184,19835,157,4
1185,7730,11,3
1186,5478,6,7
1187,19182,10,3
1188,5715,6,7
1189,6366,3,6
1190,18748,5,7
1191,14576,0,5
1192,8921,0,20
1193,49,8,202
1194,13412,4,2
1195,5733,3,5
1196,17117,53,1
1197,4038,2,1
1198,7699,14,1
1199,14981,0,28
1200,2384,1,2
1201,5627,2,1
1202,11206,66,4
1203,2418,50,1
1204,4164,3,1
1205,3882,110,50
1206,15762,0,6
1207,9353,0,99
1208,1295,110,16
1209,6488,98,11
1210,11922,97,12
1211,834,3,5
1212,18464,3,7
1213,2834,33,1
1214,17568,10,1
1215,11603,6,1
1216,10676,5,5
1217,12256,110,1
1218,2732,0,1
1219,13609,33,2
1220,6259,3,33
1221,15662,14,13
1222,19343,3,4
1223,2041,65,7
1224,10383,53,1
1225,12965,10,1
1226,13485,109,5
1227,9530,52,1
1228,1728,0,1
1229,11207,0,1
1230,19188,2,3
1231,6720,17,2
1232,3980,0,57
1233,9059,3,1
1234,3804,98,1
1235,18490,2,7
1236,8888,0,1
1237,576,14,6
1238,12668,0,40
1239,8383,48,1
1240,984,8,7
1241,9310,2,3
1242,17175,5,5
1243,2763,33,1
1244,10269,3,3
1245,14663,0,1
1246,12598,98,1
1247,2430,20,1
1248,748,10,5
1249,17472,33,1
1250,1445,157,109
1251,16809,66,1
1252,1137,66,12
1253,6237,10,1
1254,3494,0,4
1255,2761,14,3
1256,8794,0,8
1257,19569,2,9
1258,8991,0,244
1259,7258,8,112
1260,5262,11,1
1261,2895,0,3
1262,17274,3,4
1263,8137,27,2
1264,6551,3,3
1265,7837,3,5
1266,5020,98,4
1267,16201,0,71
1268,15187,0,133
1269,17299,6,3
1270,1056,110,4
1271,18048,10,3
1272,7069,0,97
1273,16730,8,2
1274,9366,3,4
1275,3880,0,49
1276,14593,3,2
1277,7460,14,1
1278,8647,0,180
1279,13954,0,28
1280,2330,0,17
1281,13232,3,2
1282,1636,3,2
1283,19402,3,1
1284,4826,98,2
1285,11710,14,1
1286,8105,0,15
1287,16203,0,85
1288,3956,0,166
1289,9463,157,1
1290,14996,8,13
1291,824,2,1
1292,2172,0,133
1293,7736,9,5
1294,7723,98,1
1295,9012,26,1
1296,15152,110,50
1297,7352,8,2
1298,19429,0,132
1299,17270,10,11
1300,19291,0,16
1301,66,0,1
1302,5989,3,1
1303,15714,8,1
1304,557,14,50
1305,2964,3,7
1306,15409,0,5
1307,593,0,1
1308,1708,0,14
1309,14596,3,26
1310,7051,14,1
1311,689,0,9
1312,6107,52,3
1313,18165,110,12
1314,11812,3,1
1315,2190,0,10
1316,19450,2,5
1317,3468,14,37
1318,7586,98,5
1319,16184,0,31
1320,3083,0,10
1321,5268,65,1
1322,7604,183,7
1323,10118,14,3
1324,2640,98,2
1325,837,0,16
1326,11706,6,13
1327,3820,53,2
1328,9013,0,33
1329,4410,3,1
1330,19863,156,1
1331,14217,0,1
1332,18048,8,1
1333,7320,28,2
1334,17242,2,3
1335,12613,0,11
1336,9171,50,1
1337,14834,3,2
1338,10612,5,16
1339,10198,0,52
1340,1097,14,4
1341,11230,53,1
1342,15419,7,4
1343,16467,157,75
1344,9038,0,23
1345,263,0,6
1346,15124,109,1
1347,12486,0,2
1348,719,2,12
1349,16934,3,6
1350,4081,7,1
1351,19030,3,1
1352,18418,109,3
1353,3532,0,3
1354,13102,3,1
1355,4217,0,129
1356,14022,5,5
1357,11978,156,2
1358,4834,33,1
1359,15061,3,1
1360,18381,0,2
1361,3979,0,88
1362,1577,10,14
1363,10331,0,1
1364,584,5,1
1365,9852,14,2
1366,12033,98,5
1367,4960,3,2
1368,12415,0,27
1369,305,0,1
1370,17844,0,4
1371,8565,50,1
1372,17747,20,1
1373,4896,157,42
1374,1455,46,10
1375,17665,0,1
1376,1156,8,1
1377,9592,10,18
1378,3063,10,2
1379,16448,189,2
1380,17969,34,1
1381,15986,4,1
1382,18570,2,1
1383,1059,40,2
1384,10150,0,5
1385,11002,3,1
1386,7298,0,154
1387,17882,8,1
1388,18486,3,5
1389,4030,6,8
1390,130,3,1
1391,3892,0,65
1392,5144,0,1
1393,9220,0,2
1394,9022,0,2
1395,3437,0,15
1396,2068,10,1
1397,8095,5,16
1398,9949,8,1
1399,16197,10,4
1400,6727,157,2
1401,11024,14,31
1402,10851,0,29
1403,18060,10,1
1404,1365,4,1
1405,7325,0,71
1406,13945,0,125
1407,4236,2,8
1408,15713,1,27
1409,13804,0,1
1410,8439,98,4
1411,16154,0,8
1412,8064,0,1
1413,18515,24,1
1414,16481,156,35
1415,19559,0,4
1416,15462,2,1
1417,11340,3,3
1418,11003,0,1
1419,18438,0,119
1420,11065,53,1
1421,7607,157,1
1422,4064,110,50
1423,38,8,4
1424,3622,0,2
1425,5532,2,10
1426,17638,20,1
1427,2865,0,14
1428,5666,34,4
1429,18456,3,4
1430,11454,10,1
1431,3369,0,4
1432,12073,0,3
1433,1985,3,4
1434,2745,58,1
1435,18552,1,1
1436,7404,0,61
1437,1286,109,4
1438,19381,0,9
1439,12974,10,2
1440,10420,5,6
1441,13987,3,3
1442,1114,50,1
1443,17006,99,2
1444,10895,0,8
1445,7372,5,12
1446,9019,0,5
1447,14589,110,3
1448,16122,14,12
1449,1060,110,3
1450,10204,10,35
1451,14661,19,1
1452,19220,0,134
1453,15124,110,100
1454,4181,4,2
1455,16099,9,1
1456,2361,6,8
1457,12651,8,31
1458,2776,0,2
1459,6242,3,2
1460,11111,0,1
1461,8912,0,28
1462,8969,3,1
1463,3669,0,12
1464,15585,3,4
1465,118,0,70
1466,9481,3,2
1467,7282,8,1
1468,2530,2,11
1469,19236,2,4
1470,17791,8,1
1471,762,10,2
1472,10690,5,22
1473,15383,3,2
1474,5092,14,28
1475,17028,14,24
1476,724,0,5
1477,395,98,2
1478,12293,2,4
1479,19222,0,106
1480,15670,5,3
1481,9195,3,2
1482,15641,3,7
1483,9443,98,3
1484,2540,14,8
1485,17851,0,11
1486,668,0,1
1487,497,5,3
1488,342,2,12
1489,15401,2,2
1490,16095,0,35
1491,11343,3,3
1492,19965,156,1
1493,12387,0,656
1494,7118,8,6
1495,6850,98,2
1496,10838,14,4
1497,7025,0,162
1498,15181,3,1
1499,15205,109,10
1500,10796,53,1
1501,693,3,37
1502,8278,8,1
1503,11106,110,3
1504,10660,0,9
